Time,ROOM_17F57B42:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_17F57B42:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_17F57B42:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_17F57B42:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_8D305412:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_8D305412:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_8D305412:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_8D305412:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_A4C076D7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_A4C076D7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_A4C076D7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_A4C076D7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BB07A4B1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BB07A4B1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BB07A4B1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BB07A4B1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BD8241A1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BD8241A1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BD8241A1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BD8241A1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BE8AAB70:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BE8AAB70:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BE8AAB70:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BE8AAB70:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_C3E48042:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_C3E48042:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_C3E48042:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_C3E48042:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_DDA9C354:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_DDA9C354:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_DDA9C354:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_DDA9C354:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.180965E+03,6.305979E+02,4.744894E-02,4.865980E-02,5.231988E+02,1.654567E+02,2.101940E-02,1.276767E-02,1.154926E+02,3.794141E+01,4.639267E-03,2.928005E-03,2.224920E+02,9.984722E+01,8.939794E-03,7.704337E-03,8.113858E+02,1.667638E+02,3.258513E-02,1.287149E-02,6.332801E+02,3.379537E+02,2.544343E-02,2.607829E-02,5.298775E+00,7.348747E+01,2.130757E-04,5.669908E-03,2.657457E+02,1.921025E+02,1.067840E-02,1.482265E-02
00:20:00,1.201571E+03,6.304154E+02,4.827660E-02,4.864590E-02,5.345888E+02,1.669339E+02,2.147694E-02,1.288173E-02,1.200172E+02,3.874914E+01,4.821060E-03,2.990337E-03,2.310087E+02,1.024749E+02,9.281893E-03,7.907151E-03,8.225851E+02,1.648826E+02,3.303484E-02,1.272624E-02,6.467581E+02,3.384228E+02,2.598479E-02,2.611458E-02,9.607051E+00,7.653741E+01,3.862249E-04,5.905248E-03,2.761288E+02,1.950836E+02,1.109548E-02,1.505275E-02
00:30:00,1.220111E+03,6.293160E+02,4.902136E-02,4.856115E-02,5.447579E+02,1.679266E+02,2.188550E-02,1.295837E-02,1.242628E+02,3.934331E+01,4.991672E-03,3.036183E-03,2.389651E+02,1.047153E+02,9.601522E-03,8.080058E-03,8.320323E+02,1.624887E+02,3.341434E-02,1.254142E-02,6.588595E+02,3.382321E+02,2.647097E-02,2.609990E-02,1.494289E+01,7.922186E+01,6.006678E-04,6.112381E-03,2.859540E+02,1.975033E+02,1.149018E-02,1.523949E-02
00:40:00,1.236871E+03,6.275117E+02,4.969471E-02,4.842193E-02,5.538170E+02,1.685184E+02,2.224949E-02,1.300406E-02,1.281411E+02,3.974963E+01,5.147521E-03,3.067531E-03,2.464774E+02,1.066156E+02,9.903330E-03,8.226717E-03,8.400292E+02,1.596907E+02,3.373559E-02,1.232541E-02,6.697699E+02,3.375200E+02,2.690933E-02,2.604495E-02,2.107550E+01,8.157277E+01,8.471283E-04,6.293773E-03,2.951304E+02,1.994490E+02,1.185884E-02,1.538964E-02
00:50:00,1.252174E+03,6.251646E+02,5.030957E-02,4.824080E-02,5.619555E+02,1.687799E+02,2.257650E-02,1.302423E-02,1.316638E+02,3.999277E+01,5.289072E-03,3.086285E-03,2.534686E+02,1.082208E+02,1.018423E-02,8.350589E-03,8.468331E+02,1.565779E+02,3.400893E-02,1.208510E-02,6.796707E+02,3.363964E+02,2.730714E-02,2.595823E-02,2.791819E+01,8.362631E+01,1.122121E-03,6.452216E-03,3.038414E+02,2.009968E+02,1.220882E-02,1.550908E-02
01:00:00,1.266273E+03,6.224004E+02,5.087604E-02,4.802746E-02,5.693119E+02,1.687699E+02,2.287209E-02,1.302345E-02,1.348471E+02,4.009557E+01,5.416978E-03,3.094210E-03,2.601034E+02,1.095716E+02,1.045081E-02,8.454828E-03,8.526559E+02,1.532234E+02,3.424285E-02,1.182615E-02,6.887162E+02,3.349490E+02,2.767059E-02,2.584651E-02,3.310746E+01,8.541792E+01,1.330543E-03,6.590444E-03,3.119741E+02,2.022114E+02,1.253558E-02,1.560280E-02
01:10:00,1.279388E+03,6.200449E+02,5.140298E-02,4.784564E-02,5.760061E+02,1.687718E+02,2.314108E-02,1.302358E-02,1.377112E+02,4.011017E+01,5.532057E-03,3.095329E-03,2.662325E+02,1.108823E+02,1.069708E-02,8.555959E-03,8.576771E+02,1.498014E+02,3.444456E-02,1.156198E-02,6.970457E+02,3.336171E+02,2.800529E-02,2.574370E-02,3.804125E+01,8.709963E+01,1.528804E-03,6.720190E-03,3.197372E+02,2.034282E+02,1.284750E-02,1.569668E-02
01:20:00,1.291732E+03,6.175308E+02,5.189899E-02,4.765160E-02,5.821331E+02,1.686246E+02,2.338727E-02,1.301221E-02,1.402820E+02,4.003068E+01,5.635347E-03,3.089188E-03,2.719002E+02,1.120245E+02,1.092482E-02,8.644094E-03,8.620767E+02,1.462838E+02,3.462130E-02,1.129044E-02,7.047587E+02,3.321319E+02,2.831521E-02,2.562907E-02,4.239254E+01,8.858941E+01,1.703655E-03,6.835126E-03,3.269611E+02,2.044368E+02,1.313777E-02,1.577449E-02
01:30:00,1.303370E+03,6.149124E+02,5.236664E-02,4.744950E-02,5.877757E+02,1.683614E+02,2.361400E-02,1.299188E-02,1.425958E+02,3.987359E+01,5.728308E-03,3.077060E-03,2.771284E+02,1.130250E+02,1.113489E-02,8.721286E-03,8.659282E+02,1.427123E+02,3.477602E-02,1.101474E-02,7.119833E+02,3.305359E+02,2.860551E-02,2.550588E-02,4.632792E+01,8.991267E+01,1.861789E-03,6.937212E-03,3.337069E+02,2.052735E+02,1.340882E-02,1.583903E-02
01:40:00,1.314402E+03,6.122335E+02,5.280988E-02,4.724275E-02,5.930332E+02,1.680103E+02,2.382525E-02,1.296478E-02,1.446818E+02,3.965356E+01,5.812118E-03,3.060075E-03,2.819308E+02,1.139085E+02,1.132785E-02,8.789452E-03,8.693230E+02,1.391200E+02,3.491240E-02,1.073744E-02,7.187583E+02,3.288635E+02,2.887774E-02,2.537680E-02,5.004655E+01,9.109461E+01,2.011214E-03,7.028396E-03,3.399964E+02,2.059708E+02,1.366153E-02,1.589283E-02
