Time,ROOM_23F1C225:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_23F1C225:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_23F1C225:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_23F1C225:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2F7AE989:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2F7AE989:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2F7AE989:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2F7AE989:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4E85EE91:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4E85EE91:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4E85EE91:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4E85EE91:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_60F2EDB3:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_60F2EDB3:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_60F2EDB3:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_60F2EDB3:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_956F0B03:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_956F0B03:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_956F0B03:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_956F0B03:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D73A2775:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D73A2775:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D73A2775:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D73A2775:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E4E9384E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E4E9384E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E4E9384E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E4E9384E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E681BE48:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E681BE48:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E681BE48:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E681BE48:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_FFC704B2:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_FFC704B2:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_FFC704B2:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_FFC704B2:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.420253E+02,3.929607E+01,9.722449E-03,3.032407E-03,1.531414E+02,5.575858E+01,6.152683E-03,4.302630E-03,3.756791E+02,3.399577E+02,1.509580E-02,2.623155E-02,3.724054E+02,3.288727E+02,1.496510E-02,2.537552E-02,2.552953E+02,1.402540E+02,1.025807E-02,1.082222E-02,5.233977E+01,6.624682E+01,2.103370E-03,5.111473E-03,4.685114E+02,2.966785E+02,1.882474E-02,2.289279E-02,9.457584E+01,1.228237E+02,3.800756E-03,9.476767E-03,9.239400E+01,4.213933E+02,3.713692E-03,3.251285E-02
00:20:00,2.478354E+02,4.029249E+01,9.955644E-03,3.109320E-03,1.584587E+02,5.707281E+01,6.366174E-03,4.404069E-03,3.880603E+02,3.416428E+02,1.559298E-02,2.636165E-02,3.863467E+02,3.333928E+02,1.552502E-02,2.572440E-02,2.646194E+02,1.429032E+02,1.063249E-02,1.102669E-02,5.915104E+01,6.852544E+01,2.377043E-03,5.287314E-03,4.811961E+02,2.975595E+02,1.933396E-02,2.296085E-02,1.058000E+02,1.265105E+02,4.251751E-03,9.761276E-03,1.172041E+02,4.277333E+02,4.710397E-03,3.300208E-02
00:30:00,2.529114E+02,4.106710E+01,1.015956E-02,3.169107E-03,1.635030E+02,5.811970E+01,6.568821E-03,4.484866E-03,3.997389E+02,3.426043E+02,1.606213E-02,2.643587E-02,3.987208E+02,3.371666E+02,1.602208E-02,2.601565E-02,2.732703E+02,1.450618E+02,1.097999E-02,1.119329E-02,6.459204E+01,7.048158E+01,2.595644E-03,5.438264E-03,4.924259E+02,2.977943E+02,1.978503E-02,2.297899E-02,1.145634E+02,1.297001E+02,4.603844E-03,1.000742E-02,1.349358E+02,4.330835E+02,5.422969E-03,3.341491E-02
00:40:00,2.573613E+02,4.164963E+01,1.033836E-02,3.214063E-03,1.682220E+02,5.893489E+01,6.758436E-03,4.547775E-03,4.104911E+02,3.429855E+02,1.649410E-02,2.646529E-02,4.100227E+02,3.403260E+02,1.647608E-02,2.625948E-02,2.816421E+02,1.468018E+02,1.131633E-02,1.132758E-02,6.935267E+01,7.215245E+01,2.786906E-03,5.567195E-03,5.024752E+02,2.975113E+02,2.018872E-02,2.295716E-02,1.222167E+02,1.324590E+02,4.911329E-03,1.022031E-02,1.529839E+02,4.376132E+02,6.148252E-03,3.376442E-02
00:50:00,2.612764E+02,4.206729E+01,1.049567E-02,3.246294E-03,1.725290E+02,5.955079E+01,6.931496E-03,4.595300E-03,4.204514E+02,3.429017E+02,1.689425E-02,2.645881E-02,4.204769E+02,3.429782E+02,1.689605E-02,2.646413E-02,2.896231E+02,1.481858E+02,1.163700E-02,1.143438E-02,7.354563E+01,7.357348E+01,2.955359E-03,5.676842E-03,5.115240E+02,2.968142E+02,2.055225E-02,2.290335E-02,1.289470E+02,1.348464E+02,5.181729E-03,1.040452E-02,1.679099E+02,4.414610E+02,6.748047E-03,3.406128E-02
01:00:00,2.647365E+02,4.234460E+01,1.063470E-02,3.267690E-03,1.764307E+02,5.999642E+01,7.088267E-03,4.629682E-03,4.297177E+02,3.424461E+02,1.726654E-02,2.642363E-02,4.303725E+02,3.452106E+02,1.729361E-02,2.663638E-02,2.970450E+02,1.492679E+02,1.193521E-02,1.151788E-02,7.735930E+01,7.477744E+01,3.108573E-03,5.769735E-03,5.197836E+02,2.957870E+02,2.088410E-02,2.282406E-02,1.349326E+02,1.369152E+02,5.422200E-03,1.056414E-02,1.811821E+02,4.447411E+02,7.281373E-03,3.431433E-02
01:10:00,2.678106E+02,4.257043E+01,1.075822E-02,3.285113E-03,1.799717E+02,6.037323E+01,7.230539E-03,4.658751E-03,4.382656E+02,3.420629E+02,1.760997E-02,2.639402E-02,4.399651E+02,3.476066E+02,1.767901E-02,2.682124E-02,3.039288E+02,1.503065E+02,1.221180E-02,1.159801E-02,8.093423E+01,7.589370E+01,3.252201E-03,5.855858E-03,5.274459E+02,2.948126E+02,2.119198E-02,2.274884E-02,1.404211E+02,1.389157E+02,5.642705E-03,1.071849E-02,1.931768E+02,4.481466E+02,7.763357E-03,3.457705E-02
01:20:00,2.705559E+02,4.270978E+01,1.086853E-02,3.295862E-03,1.831948E+02,6.063915E+01,7.360036E-03,4.679265E-03,4.461306E+02,3.414803E+02,1.792597E-02,2.634904E-02,4.493917E+02,3.497602E+02,1.805777E-02,2.698740E-02,3.103065E+02,1.511538E+02,1.246806E-02,1.166338E-02,8.438846E+01,7.685878E+01,3.390987E-03,5.930315E-03,5.345298E+02,2.936670E+02,2.147663E-02,2.266041E-02,1.455921E+02,1.407029E+02,5.850462E-03,1.085638E-02,2.040318E+02,4.511997E+02,8.199531E-03,3.481258E-02
01:30:00,2.730224E+02,4.277912E+01,1.096763E-02,3.301209E-03,1.861394E+02,6.081340E+01,7.478349E-03,4.692704E-03,4.532978E+02,3.407439E+02,1.821393E-02,2.629219E-02,4.584517E+02,3.517151E+02,1.842181E-02,2.713822E-02,3.162087E+02,1.518427E+02,1.270521E-02,1.171652E-02,8.767771E+01,7.769499E+01,3.523152E-03,5.994828E-03,5.411190E+02,2.923923E+02,2.174142E-02,2.256203E-02,1.505230E+02,1.423095E+02,6.048578E-03,1.098033E-02,2.140045E+02,4.539571E+02,8.600250E-03,3.502529E-02
01:40:00,2.752664E+02,4.279229E+01,1.105779E-02,3.302221E-03,1.888412E+02,6.091218E+01,7.586909E-03,4.700321E-03,4.599239E+02,3.398914E+02,1.848013E-02,2.622638E-02,4.670984E+02,3.535067E+02,1.876924E-02,2.727644E-02,3.216481E+02,1.524005E+02,1.292376E-02,1.175955E-02,9.081974E+01,7.842128E+01,3.649406E-03,6.050859E-03,5.473080E+02,2.910236E+02,2.199012E-02,2.245640E-02,1.552490E+02,1.437627E+02,6.238473E-03,1.109245E-02,2.233303E+02,4.564664E+02,8.974974E-03,3.521887E-02
