Time,ROOM_1FED0393:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1FED0393:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1FED0393:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1FED0393:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3491F28E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3491F28E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3491F28E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3491F28E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4101CB5C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4101CB5C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4101CB5C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4101CB5C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_46DD494C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_46DD494C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_46DD494C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_46DD494C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_67B73CDB:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_67B73CDB:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_67B73CDB:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_67B73CDB:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_72ED9C31:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_72ED9C31:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_72ED9C31:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_72ED9C31:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7CF73752:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7CF73752:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7CF73752:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7CF73752:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7EB284F1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7EB284F1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7EB284F1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7EB284F1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_85E48ABC:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_85E48ABC:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_85E48ABC:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_85E48ABC:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_EDFC232E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_EDFC232E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_EDFC232E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_EDFC232E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F82A55C4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F82A55C4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F82A55C4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F82A55C4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.002552E+01,1.042908E+02,8.050604E-04,8.046659E-03,3.761753E+02,8.515992E+01,1.510904E-02,6.572461E-03,2.474301E+02,1.888978E+02,9.942321E-03,1.457548E-02,3.625699E+02,2.985264E+02,1.456858E-02,2.303478E-02,4.127784E+02,2.544077E+02,1.658527E-02,1.963090E-02,3.692712E+02,1.687392E+02,1.483597E-02,1.302089E-02,6.693550E+02,1.928463E+02,2.688861E-02,1.488221E-02,3.151337E+02,3.039501E+02,1.266350E-02,2.345251E-02,3.466112E+01,7.196692E+01,1.393281E-03,5.552758E-03,1.434728E+02,1.596172E+02,5.765367E-03,1.231598E-02,3.014338E+02,2.923240E+02,1.211245E-02,2.255589E-02
00:20:00,2.841045E+01,1.074897E+02,1.142037E-03,8.293504E-03,3.821502E+02,8.470732E+01,1.534901E-02,6.537523E-03,2.567365E+02,1.914774E+02,1.031614E-02,1.477459E-02,3.753523E+02,3.000059E+02,1.508207E-02,2.314901E-02,4.243792E+02,2.560758E+02,1.705125E-02,1.975970E-02,3.787741E+02,1.697602E+02,1.521769E-02,1.309972E-02,6.796235E+02,1.923548E+02,2.730106E-02,1.484431E-02,3.281885E+02,3.079114E+02,1.318791E-02,2.375826E-02,4.341491E+01,7.483207E+01,1.744762E-03,5.773857E-03,1.513491E+02,1.619014E+02,6.081770E-03,1.249226E-02,3.127669E+02,2.946524E+02,1.256768E-02,2.273562E-02
00:30:00,3.782951E+01,1.102605E+02,1.520569E-03,8.507304E-03,3.872526E+02,8.398706E+01,1.555400E-02,6.481917E-03,2.652831E+02,1.935079E+02,1.065946E-02,1.493131E-02,3.870161E+02,3.008103E+02,1.555067E-02,2.321110E-02,4.347976E+02,2.571469E+02,1.746977E-02,1.984239E-02,3.872424E+02,1.703024E+02,1.555789E-02,1.314158E-02,6.885696E+02,1.914132E+02,2.766048E-02,1.477165E-02,3.399778E+02,3.111064E+02,1.366151E-02,2.400483E-02,5.025311E+01,7.736253E+01,2.019537E-03,5.969123E-03,1.582391E+02,1.636881E+02,6.358552E-03,1.263015E-02,3.231712E+02,2.962675E+02,1.298563E-02,2.286028E-02
00:40:00,4.520401E+01,1.126544E+02,1.816683E-03,8.692019E-03,3.916371E+02,8.305276E+01,1.573015E-02,6.409789E-03,2.732979E+02,1.950785E+02,1.098143E-02,1.505251E-02,3.975856E+02,3.010706E+02,1.597530E-02,2.323119E-02,4.441429E+02,2.577337E+02,1.784518E-02,1.988767E-02,3.948247E+02,1.704541E+02,1.586252E-02,1.315329E-02,6.964073E+02,1.901181E+02,2.797539E-02,1.467169E-02,3.508856E+02,3.136652E+02,1.409971E-02,2.420230E-02,5.678823E+01,7.958987E+01,2.282130E-03,6.140994E-03,1.645346E+02,1.650565E+02,6.611452E-03,1.273574E-02,3.329429E+02,2.972992E+02,1.337820E-02,2.293989E-02
00:50:00,5.215523E+01,1.147213E+02,2.096012E-03,8.851493E-03,3.954280E+02,8.194862E+01,1.588245E-02,6.324554E-03,2.810688E+02,1.962654E+02,1.129364E-02,1.514410E-02,4.071180E+02,3.008934E+02,1.635827E-02,2.321750E-02,4.525335E+02,2.579283E+02,1.818225E-02,1.990268E-02,4.016716E+02,1.702887E+02,1.613764E-02,1.314051E-02,7.033381E+02,1.885466E+02,2.825386E-02,1.455039E-02,3.612332E+02,3.156978E+02,1.451543E-02,2.435914E-02,6.224307E+01,8.154810E+01,2.501302E-03,6.292093E-03,1.704316E+02,1.660749E+02,6.848362E-03,1.281432E-02,3.424468E+02,2.978549E+02,1.376003E-02,2.298276E-02
01:00:00,5.820052E+01,1.165065E+02,2.338929E-03,8.989228E-03,3.987272E+02,8.071115E+01,1.601500E-02,6.229030E-03,2.884771E+02,1.971331E+02,1.159131E-02,1.521104E-02,4.157038E+02,3.003653E+02,1.670322E-02,2.317672E-02,4.601359E+02,2.578063E+02,1.848768E-02,1.989325E-02,4.078628E+02,1.698667E+02,1.638643E-02,1.310793E-02,7.095228E+02,1.867604E+02,2.850236E-02,1.441252E-02,3.712226E+02,3.172960E+02,1.491677E-02,2.448244E-02,6.696628E+01,8.327028E+01,2.691070E-03,6.424973E-03,1.761218E+02,1.668018E+02,7.076977E-03,1.287039E-02,3.515253E+02,2.980232E+02,1.412481E-02,2.299572E-02
01:10:00,6.335086E+01,1.182097E+02,2.545876E-03,9.120632E-03,4.016208E+02,7.944316E+01,1.613125E-02,6.131151E-03,2.955405E+02,1.979894E+02,1.187512E-02,1.527709E-02,4.234238E+02,2.998743E+02,1.701338E-02,2.313881E-02,4.670877E+02,2.577296E+02,1.876699E-02,1.988730E-02,4.134931E+02,1.694270E+02,1.661267E-02,1.307398E-02,7.150967E+02,1.850180E+02,2.872631E-02,1.427802E-02,3.808550E+02,3.189622E+02,1.530380E-02,2.461099E-02,7.116412E+01,8.491188E+01,2.859726E-03,6.551632E-03,1.815985E+02,1.674769E+02,7.297033E-03,1.292246E-02,3.600660E+02,2.982071E+02,1.446799E-02,2.300989E-02
01:20:00,6.792531E+01,1.197163E+02,2.729678E-03,9.236868E-03,4.041757E+02,7.811492E+01,1.623390E-02,6.028625E-03,3.021544E+02,1.986492E+02,1.214088E-02,1.532799E-02,4.304379E+02,2.991915E+02,1.729518E-02,2.308609E-02,4.735171E+02,2.574808E+02,1.902532E-02,1.986808E-02,4.186376E+02,1.688465E+02,1.681940E-02,1.302917E-02,7.201965E+02,1.831869E+02,2.893121E-02,1.413670E-02,3.901109E+02,3.203661E+02,1.567571E-02,2.471930E-02,7.491525E+01,8.638563E+01,3.010434E-03,6.665337E-03,1.868553E+02,1.679676E+02,7.508257E-03,1.296031E-02,3.680766E+02,2.981669E+02,1.478986E-02,2.300676E-02
01:30:00,7.203925E+01,1.210555E+02,2.894975E-03,9.340180E-03,4.064680E+02,7.674721E+01,1.632599E-02,5.923054E-03,3.083532E+02,1.991484E+02,1.238995E-02,1.536650E-02,4.368555E+02,2.983605E+02,1.755302E-02,2.302194E-02,4.795857E+02,2.570985E+02,1.926917E-02,1.983857E-02,4.233668E+02,1.681581E+02,1.700943E-02,1.297603E-02,7.248723E+02,1.812990E+02,2.911907E-02,1.399098E-02,3.989261E+02,3.215555E+02,1.602992E-02,2.481105E-02,7.833394E+01,8.771413E+01,3.147787E-03,6.767834E-03,1.919822E+02,1.683072E+02,7.714269E-03,1.298650E-02,3.755798E+02,2.979491E+02,1.509135E-02,2.298992E-02
01:40:00,7.579954E+01,1.222548E+02,3.046062E-03,9.432703E-03,4.085259E+02,7.535656E+01,1.640866E-02,5.815715E-03,3.141556E+02,1.995190E+02,1.262310E-02,1.539508E-02,4.427800E+02,2.974178E+02,1.779107E-02,2.294919E-02,4.852820E+02,2.566154E+02,1.949808E-02,1.980127E-02,4.277625E+02,1.673889E+02,1.718607E-02,1.291666E-02,7.291896E+02,1.793791E+02,2.929253E-02,1.384280E-02,4.072671E+02,3.225731E+02,1.636507E-02,2.488954E-02,8.152325E+01,8.892014E+01,3.275928E-03,6.860879E-03,1.968186E+02,1.685251E+02,7.908618E-03,1.300330E-02,3.826080E+02,2.975934E+02,1.537375E-02,2.296246E-02
