Time,ROOM_184271FF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_184271FF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_184271FF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_184271FF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2268FC85:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2268FC85:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2268FC85:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2268FC85:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_565DB822:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_565DB822:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_565DB822:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_565DB822:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D27F8739:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D27F8739:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D27F8739:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D27F8739:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_DF3CB535:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_DF3CB535:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_DF3CB535:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_DF3CB535:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.997550E+02,2.648660E+02,1.204521E-02,2.043717E-02,3.047348E+02,3.997784E+02,1.224575E-02,3.084672E-02,8.478958E+01,1.142955E+02,3.407354E-03,8.818922E-03,1.731234E+02,8.191735E+01,6.955603E-03,6.321186E-03,2.473086E+02,1.546084E+02,9.937300E-03,1.192981E-02
00:20:00,3.111951E+02,2.678895E+02,1.250475E-02,2.067052E-02,3.172914E+02,4.018294E+02,1.275015E-02,3.100501E-02,9.229099E+01,1.167763E+02,3.708730E-03,9.010364E-03,1.793927E+02,8.315114E+01,7.207430E-03,6.416408E-03,2.565869E+02,1.571247E+02,1.030999E-02,1.212402E-02
00:30:00,3.218092E+02,2.702061E+02,1.293112E-02,2.084929E-02,3.286791E+02,4.030695E+02,1.320760E-02,3.110071E-02,9.857718E+01,1.187868E+02,3.961267E-03,9.165496E-03,1.853096E+02,8.405928E+01,7.445140E-03,6.486488E-03,2.654560E+02,1.591363E+02,1.066627E-02,1.227926E-02
00:40:00,3.319611E+02,2.719421E+02,1.333896E-02,2.098325E-02,3.392606E+02,4.036563E+02,1.363269E-02,3.114597E-02,1.041430E+02,1.203956E+02,4.184866E-03,9.289622E-03,1.907284E+02,8.469055E+01,7.662861E-03,6.535195E-03,2.739453E+02,1.607225E+02,1.100733E-02,1.240166E-02
00:50:00,3.419152E+02,2.732018E+02,1.373888E-02,2.108043E-02,3.493517E+02,4.037168E+02,1.403810E-02,3.115061E-02,1.091768E+02,1.216633E+02,4.387095E-03,9.387428E-03,1.956534E+02,8.508779E+01,7.860743E-03,6.565839E-03,2.818452E+02,1.619513E+02,1.132473E-02,1.249648E-02
01:00:00,3.512356E+02,2.740744E+02,1.411337E-02,2.114774E-02,3.591621E+02,4.033565E+02,1.443225E-02,3.112277E-02,1.138966E+02,1.226458E+02,4.576714E-03,9.463221E-03,2.000889E+02,8.528971E+01,8.038955E-03,6.581408E-03,2.891215E+02,1.628834E+02,1.161708E-02,1.256839E-02
01:10:00,3.599344E+02,2.749660E+02,1.446288E-02,2.121651E-02,3.687573E+02,4.030815E+02,1.481778E-02,3.110151E-02,1.185142E+02,1.235211E+02,4.762243E-03,9.530743E-03,2.041051E+02,8.542302E+01,8.200314E-03,6.591682E-03,2.958297E+02,1.637872E+02,1.188661E-02,1.263811E-02
01:20:00,3.680327E+02,2.756241E+02,1.478826E-02,2.126726E-02,3.778887E+02,4.025729E+02,1.518469E-02,3.106222E-02,1.231139E+02,1.242033E+02,4.947063E-03,9.583364E-03,2.077512E+02,8.543268E+01,8.346809E-03,6.592416E-03,3.020035E+02,1.645012E+02,1.213466E-02,1.269319E-02
01:30:00,3.755755E+02,2.760961E+02,1.509132E-02,2.130366E-02,3.865162E+02,4.018778E+02,1.553134E-02,3.100855E-02,1.274882E+02,1.247266E+02,5.122839E-03,9.623729E-03,2.110753E+02,8.534137E+01,8.480368E-03,6.585360E-03,3.076790E+02,1.650618E+02,1.236270E-02,1.273643E-02
01:40:00,3.826036E+02,2.764200E+02,1.537371E-02,2.132863E-02,3.946576E+02,4.010381E+02,1.585846E-02,3.094374E-02,1.316598E+02,1.251189E+02,5.290466E-03,9.653984E-03,2.141205E+02,8.516874E+01,8.602727E-03,6.572031E-03,3.128566E+02,1.654976E+02,1.257073E-02,1.277005E-02
