Time,ROOM_5584D19A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_5584D19A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_5584D19A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_5584D19A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7404D1B3:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7404D1B3:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7404D1B3:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7404D1B3:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_87D1E06E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_87D1E06E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_87D1E06E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_87D1E06E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_EAAB9156:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_EAAB9156:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_EAAB9156:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_EAAB9156:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F4C6283E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F4C6283E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F4C6283E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F4C6283E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F6DD9BCA:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F6DD9BCA:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F6DD9BCA:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F6DD9BCA:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.898725E+02,3.120010E+02,1.164874E-02,2.407359E-02,2.441199E+02,1.524533E+02,9.807841E-03,1.176437E-02,6.110502E+00,1.622330E+02,2.458352E-04,1.251705E-02,4.656564E+01,4.022706E+01,1.871034E-03,3.104037E-03,1.603212E+02,7.794364E+01,6.440907E-03,6.014745E-03,3.482144E+02,6.001321E+02,1.399390E-02,4.630455E-02
00:20:00,3.032206E+02,3.160945E+02,1.218491E-02,2.438952E-02,2.531368E+02,1.533377E+02,1.016990E-02,1.183263E-02,1.150037E+01,1.665266E+02,4.624559E-04,1.284836E-02,4.968119E+01,4.122174E+01,1.996164E-03,3.180796E-03,1.658018E+02,7.876770E+01,6.660952E-03,6.078348E-03,3.712857E+02,6.056118E+02,1.492087E-02,4.672745E-02
00:30:00,3.149120E+02,3.194337E+02,1.265457E-02,2.464723E-02,2.613024E+02,1.537111E+02,1.049798E-02,1.186143E-02,1.875103E+01,1.702419E+02,7.538600E-04,1.313503E-02,5.251988E+01,4.200612E+01,2.110183E-03,3.241320E-03,1.710494E+02,7.928621E+01,6.871770E-03,6.118358E-03,3.897265E+02,6.099706E+02,1.566178E-02,4.706383E-02
00:40:00,3.253651E+02,3.221529E+02,1.307448E-02,2.485707E-02,2.687110E+02,1.536640E+02,1.079566E-02,1.185777E-02,2.735022E+01,1.734609E+02,1.099457E-03,1.338340E-02,5.517792E+01,4.260602E+01,2.216962E-03,3.287605E-03,1.759470E+02,7.954590E+01,7.068564E-03,6.138388E-03,4.062370E+02,6.134213E+02,1.632512E-02,4.733009E-02
00:50:00,3.349157E+02,3.243617E+02,1.345815E-02,2.502750E-02,2.753634E+02,1.532728E+02,1.106295E-02,1.182756E-02,3.712060E+01,1.762552E+02,1.492120E-03,1.359899E-02,5.782154E+01,4.304568E+01,2.323174E-03,3.321523E-03,1.804210E+02,7.958781E+01,7.248337E-03,6.141609E-03,4.212283E+02,6.161324E+02,1.692743E-02,4.753926E-02
01:00:00,3.438302E+02,3.261497E+02,1.381628E-02,2.516546E-02,2.813599E+02,1.526022E+02,1.130387E-02,1.177579E-02,4.626006E+01,1.786871E+02,1.859172E-03,1.378661E-02,6.027979E+01,4.334732E+01,2.421957E-03,3.344790E-03,1.845106E+02,7.944766E+01,7.412647E-03,6.130781E-03,4.349631E+02,6.182394E+02,1.747924E-02,4.770181E-02
01:10:00,3.523609E+02,3.280361E+02,1.415902E-02,2.531099E-02,2.867662E+02,1.518272E+02,1.152108E-02,1.171597E-02,5.358940E+01,1.810614E+02,2.153711E-03,1.396979E-02,6.261712E+01,4.356655E+01,2.515879E-03,3.361699E-03,1.882313E+02,7.922726E+01,7.562136E-03,6.113761E-03,4.477231E+02,6.206413E+02,1.799190E-02,4.788708E-02
01:20:00,3.607509E+02,3.296753E+02,1.449611E-02,2.543745E-02,2.916627E+02,1.508903E+02,1.171782E-02,1.164365E-02,6.086695E+01,1.831919E+02,2.446168E-03,1.413415E-02,6.488686E+01,4.369069E+01,2.607089E-03,3.371271E-03,1.916243E+02,7.889386E+01,7.698464E-03,6.088022E-03,4.598628E+02,6.226975E+02,1.847964E-02,4.804569E-02
01:30:00,3.689425E+02,3.311123E+02,1.482526E-02,2.554831E-02,2.961182E+02,1.498285E+02,1.189684E-02,1.156170E-02,6.707652E+01,1.851150E+02,2.695698E-03,1.428250E-02,6.698996E+01,4.373516E+01,2.691611E-03,3.374696E-03,1.947248E+02,7.846988E+01,7.823040E-03,6.055296E-03,4.715637E+02,6.244702E+02,1.894976E-02,4.818241E-02
01:40:00,3.769311E+02,3.323842E+02,1.514626E-02,2.564642E-02,3.002021E+02,1.486726E+02,1.206094E-02,1.147249E-02,7.265085E+01,1.868608E+02,2.919697E-03,1.441719E-02,6.894197E+01,4.371330E+01,2.770056E-03,3.373005E-03,1.975708E+02,7.797438E+01,7.937393E-03,6.017051E-03,4.829429E+02,6.260114E+02,1.940698E-02,4.830129E-02
