Time,ROOM_0F2955AD:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_0F2955AD:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_0F2955AD:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_0F2955AD:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_167A649D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_167A649D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_167A649D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_167A649D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_21ED5075:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_21ED5075:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_21ED5075:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_21ED5075:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_32F964D5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_32F964D5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_32F964D5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_32F964D5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4742F51F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4742F51F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4742F51F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4742F51F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4C2D24B9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4C2D24B9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4C2D24B9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4C2D24B9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4F9EE72E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4F9EE72E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4F9EE72E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4F9EE72E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_B1FA130A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_B1FA130A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_B1FA130A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_B1FA130A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_B33EAB3D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_B33EAB3D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_B33EAB3D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_B33EAB3D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BE96053F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BE96053F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BE96053F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BE96053F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_C1230868:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_C1230868:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_C1230868:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_C1230868:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_C466F578:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_C466F578:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_C466F578:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_C466F578:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D8482C34:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D8482C34:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D8482C34:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D8482C34:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.506750E+02,1.678515E+02,1.007283E-02,1.295149E-02,6.519925E+02,7.167633E+02,2.619993E-02,5.530532E-02,6.735321E+02,1.921709E+02,2.705686E-02,1.483020E-02,1.275293E+02,3.114404E+01,5.123411E-03,2.403248E-03,2.456894E+02,2.198147E+02,9.872520E-03,1.696112E-02,3.020447E+02,3.268368E+02,1.213793E-02,2.521824E-02,3.266277E+02,7.624621E+01,1.312142E-02,5.883863E-03,2.388495E+02,1.563944E+02,9.597594E-03,1.206749E-02,2.098143E+02,2.652866E+01,8.427856E-03,2.047211E-03,2.549118E+02,8.175622E+01,1.024155E-02,6.308705E-03,1.230388E+01,1.786311E+02,4.947694E-04,1.378232E-02,3.056994E+02,2.797146E+02,1.228444E-02,2.158253E-02,5.651525E+01,2.494417E+02,2.271961E-03,1.924581E-02
00:20:00,2.600883E+02,1.706960E+02,1.045086E-02,1.317104E-02,6.714915E+02,7.191526E+02,2.698298E-02,5.548982E-02,6.837965E+02,1.914357E+02,2.746850E-02,1.477349E-02,1.329537E+02,3.277724E+01,5.341233E-03,2.529297E-03,2.549051E+02,2.219156E+02,1.024259E-02,1.712329E-02,3.160051E+02,3.315993E+02,1.269871E-02,2.558580E-02,3.338131E+02,7.707117E+01,1.340978E-02,5.947553E-03,2.478596E+02,1.592333E+02,9.959420E-03,1.228661E-02,2.152587E+02,2.750397E+01,8.646401E-03,2.122487E-03,2.626517E+02,8.347220E+01,1.055227E-02,6.441162E-03,1.939573E+01,1.817626E+02,7.797888E-04,1.402396E-02,3.185420E+02,2.831908E+02,1.280027E-02,2.185084E-02,7.546177E+01,2.550605E+02,3.033395E-03,1.967939E-02
00:30:00,2.687243E+02,1.730161E+02,1.079776E-02,1.335011E-02,6.894213E+02,7.204579E+02,2.770324E-02,5.559061E-02,6.926427E+02,1.902532E+02,2.782381E-02,1.468224E-02,1.380615E+02,3.417609E+01,5.546461E-03,2.637253E-03,2.632908E+02,2.234275E+02,1.057944E-02,1.723998E-02,3.282761E+02,3.355551E+02,1.319166E-02,2.589109E-02,3.400876E+02,7.759572E+01,1.366184E-02,5.988042E-03,2.561249E+02,1.615662E+02,1.029143E-02,1.246667E-02,2.200337E+02,2.827953E+01,8.838224E-03,2.182343E-03,2.696244E+02,8.484292E+01,1.083236E-02,6.546959E-03,2.769366E+01,1.842977E+02,1.113275E-03,1.421956E-02,3.303952E+02,2.859780E+02,1.327644E-02,2.206595E-02,9.158984E+01,2.598911E+02,3.680924E-03,2.005213E-02
00:40:00,2.769084E+02,1.748957E+02,1.112654E-02,1.349517E-02,7.064111E+02,7.209101E+02,2.838576E-02,5.562552E-02,7.004035E+02,1.887200E+02,2.813561E-02,1.456390E-02,1.428567E+02,3.535842E+01,5.739143E-03,2.728494E-03,2.711481E+02,2.244552E+02,1.089508E-02,1.731928E-02,3.393774E+02,3.388462E+02,1.363762E-02,2.614506E-02,3.456018E+02,7.786874E+01,1.388339E-02,6.009111E-03,2.639584E+02,1.634727E+02,1.060613E-02,1.261379E-02,2.242322E+02,2.887751E+01,9.006918E-03,2.228491E-03,2.758793E+02,8.591821E+01,1.108366E-02,6.629945E-03,3.704248E+01,1.863348E+02,1.488991E-03,1.437672E-02,3.415200E+02,2.881915E+02,1.372337E-02,2.223677E-02,1.047565E+02,2.640501E+02,4.210030E-03,2.037304E-02
00:50:00,2.847934E+02,1.764059E+02,1.144333E-02,1.361170E-02,7.225073E+02,7.206881E+02,2.903243E-02,5.560837E-02,7.072484E+02,1.869135E+02,2.841063E-02,1.442446E-02,1.472476E+02,3.634634E+01,5.915586E-03,2.804730E-03,2.787077E+02,2.250854E+02,1.119879E-02,1.736790E-02,3.497126E+02,3.415884E+02,1.405283E-02,2.635665E-02,3.504705E+02,7.793212E+01,1.407902E-02,6.013995E-03,2.714967E+02,1.650202E+02,1.090899E-02,1.273321E-02,2.279106E+02,2.931969E+01,9.154715E-03,2.262612E-03,2.814737E+02,8.674197E+01,1.130842E-02,6.693513E-03,4.473649E+01,1.879576E+02,1.797923E-03,1.450192E-02,3.520224E+02,2.899266E+02,1.414531E-02,2.237065E-02,1.170852E+02,2.676376E+02,4.705454E-03,2.064983E-02
01:00:00,2.922302E+02,1.776068E+02,1.174214E-02,1.370436E-02,7.375683E+02,7.199327E+02,2.963752E-02,5.555004E-02,7.133429E+02,1.848962E+02,2.865550E-02,1.426874E-02,1.512405E+02,3.716213E+01,6.076033E-03,2.867679E-03,2.859228E+02,2.253901E+02,1.148868E-02,1.739139E-02,3.595400E+02,3.438767E+02,1.444765E-02,2.653321E-02,3.547944E+02,7.782165E+01,1.425276E-02,6.005460E-03,2.786085E+02,1.662664E+02,1.119473E-02,1.282937E-02,2.311491E+02,2.962682E+01,9.284836E-03,2.286311E-03,2.865238E+02,8.735262E+01,1.151133E-02,6.740630E-03,5.159799E+01,1.892365E+02,2.073656E-03,1.460057E-02,3.620009E+02,2.912621E+02,1.454622E-02,2.247369E-02,1.274517E+02,2.707394E+02,5.122011E-03,2.088915E-02
01:10:00,2.992695E+02,1.788010E+02,1.202498E-02,1.379650E-02,7.518080E+02,7.195769E+02,3.020962E-02,5.552253E-02,7.188246E+02,1.829186E+02,2.887574E-02,1.411610E-02,1.548412E+02,3.787856E+01,6.220716E-03,2.922959E-03,2.928417E+02,2.256829E+02,1.176668E-02,1.741396E-02,3.690898E+02,3.462706E+02,1.483134E-02,2.671790E-02,3.586590E+02,7.767042E+01,1.440804E-02,5.993779E-03,2.853342E+02,1.674958E+02,1.146497E-02,1.292422E-02,2.340105E+02,2.986209E+01,9.399807E-03,2.304463E-03,2.911444E+02,8.790909E+01,1.169700E-02,6.783563E-03,5.778170E+01,1.904292E+02,2.322146E-03,1.469257E-02,3.714663E+02,2.926574E+02,1.492653E-02,2.258134E-02,1.367076E+02,2.738103E+02,5.493929E-03,2.112607E-02
01:20:00,3.058403E+02,1.798053E+02,1.228899E-02,1.387398E-02,7.652014E+02,7.189589E+02,3.074773E-02,5.547479E-02,7.238301E+02,1.808555E+02,2.907685E-02,1.395686E-02,1.580893E+02,3.847400E+01,6.351222E-03,2.968902E-03,2.993286E+02,2.257851E+02,1.202734E-02,1.742183E-02,3.782835E+02,3.483954E+02,1.520073E-02,2.688183E-02,3.621328E+02,7.741967E+01,1.454762E-02,5.974418E-03,2.916081E+02,1.685387E+02,1.171706E-02,1.300468E-02,2.365473E+02,3.000948E+01,9.501732E-03,2.315835E-03,2.953601E+02,8.833275E+01,1.186641E-02,6.816247E-03,6.302096E+01,1.914018E+02,2.532675E-03,1.476759E-02,3.804212E+02,2.938098E+02,1.528634E-02,2.267024E-02,1.451516E+02,2.765609E+02,5.833223E-03,2.133827E-02
01:30:00,3.119737E+02,1.806536E+02,1.253543E-02,1.393942E-02,7.777713E+02,7.181396E+02,3.125276E-02,5.541152E-02,7.284106E+02,1.787386E+02,2.926088E-02,1.379347E-02,1.610279E+02,3.896657E+01,6.469292E-03,3.006908E-03,3.054136E+02,2.257353E+02,1.227184E-02,1.741797E-02,3.872490E+02,3.502990E+02,1.556097E-02,2.702868E-02,3.652761E+02,7.709093E+01,1.467391E-02,5.949041E-03,2.974604E+02,1.694282E+02,1.195221E-02,1.307330E-02,2.388064E+02,3.008446E+01,9.592499E-03,2.321618E-03,2.992268E+02,8.864767E+01,1.202179E-02,6.840541E-03,6.769189E+01,1.921930E+02,2.720363E-03,1.482862E-02,3.888163E+02,2.947612E+02,1.562365E-02,2.274363E-02,1.529935E+02,2.790399E+02,6.148324E-03,2.152951E-02
01:40:00,3.176967E+02,1.813738E+02,1.276538E-02,1.399498E-02,7.895840E+02,7.171703E+02,3.172736E-02,5.533668E-02,7.326320E+02,1.765941E+02,2.943048E-02,1.362796E-02,1.636927E+02,3.937193E+01,6.576362E-03,3.038184E-03,3.111129E+02,2.255652E+02,1.250084E-02,1.740483E-02,3.959175E+02,3.520204E+02,1.590929E-02,2.716148E-02,3.681567E+02,7.670216E+01,1.478965E-02,5.919032E-03,3.029181E+02,1.701913E+02,1.217150E-02,1.313217E-02,2.408278E+02,3.010028E+01,9.673716E-03,2.322837E-03,3.027879E+02,8.887390E+01,1.216489E-02,6.857991E-03,7.195860E+01,1.928348E+02,2.891808E-03,1.487812E-02,3.966916E+02,2.955469E+02,1.594009E-02,2.280423E-02,1.604100E+02,2.812879E+02,6.446327E-03,2.170293E-02
