Time,ROOM_123547F1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_123547F1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_123547F1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_123547F1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_14A32C2F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_14A32C2F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_14A32C2F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_14A32C2F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3B83C507:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3B83C507:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3B83C507:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3B83C507:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_50399FA2:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_50399FA2:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_50399FA2:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_50399FA2:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_64455466:BOSTON LOGAN INTL ARPT ANN HUM_N 99.6% CONDNS DP=>MCDB:Des Heat Load [W],ROOM_64455466:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_64455466:BOSTON LOGAN INTL ARPT ANN HUM_N 99.6% CONDNS DP=>MCDB:Des Heat Mass Flow [kg/s],ROOM_64455466:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7E27C7FA:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7E27C7FA:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7E27C7FA:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7E27C7FA:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_8223911F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_8223911F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_8223911F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_8223911F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_85EBD173:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_85EBD173:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_85EBD173:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_85EBD173:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_A37391F5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_A37391F5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_A37391F5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_A37391F5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_B7DA1FB5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_B7DA1FB5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_B7DA1FB5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_B7DA1FB5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_C8DF9F13:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_C8DF9F13:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_C8DF9F13:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_C8DF9F13:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E2453104:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E2453104:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E2453104:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E2453104:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.252136E+01,5.179806E+01,1.708840E-03,3.996611E-03,4.796369E+02,4.786079E+02,1.927423E-02,3.692904E-02,4.937473E+01,1.672324E+02,1.984331E-03,1.290307E-02,4.219975E+02,1.851212E+02,1.695389E-02,1.428547E-02,2.087509E+02,5.134995E+01,8.385310E-03,3.962669E-03,0.000000E+00,2.473628E+01,0.000000E+00,1.908386E-03,2.343420E+02,2.224492E+02,9.416457E-03,1.716451E-02,4.275687E+02,1.549620E+02,1.717713E-02,1.195825E-02,0.000000E+00,2.680765E+01,0.000000E+00,2.068347E-03,0.000000E+00,3.286960E+02,0.000000E+00,2.536013E-02,2.224092E+02,1.124679E+02,8.936568E-03,8.678245E-03,4.265560E+01,2.232881E+02,1.714763E-03,1.722803E-02
00:20:00,4.993877E+01,5.416299E+01,2.006891E-03,4.179113E-03,4.971740E+02,4.831285E+02,1.997858E-02,3.727799E-02,5.918342E+01,1.699679E+02,2.378495E-03,1.311416E-02,4.314115E+02,1.850341E+02,1.733171E-02,1.427878E-02,2.149579E+02,5.236224E+01,8.634452E-03,4.040804E-03,0.000000E+00,2.679941E+01,0.000000E+00,2.067554E-03,2.431018E+02,2.240236E+02,9.768221E-03,1.728605E-02,4.367662E+02,1.554240E+02,1.754624E-02,1.199394E-02,0.000000E+00,2.886612E+01,0.000000E+00,2.227182E-03,0.000000E+00,3.356182E+02,0.000000E+00,2.589423E-02,2.307860E+02,1.145502E+02,9.272953E-03,8.838968E-03,5.738377E+01,2.275911E+02,2.306668E-03,1.756007E-02
00:30:00,5.632148E+01,5.630678E+01,2.263352E-03,4.344548E-03,5.128964E+02,4.867051E+02,2.061014E-02,3.755404E-02,6.816553E+01,1.721617E+02,2.739436E-03,1.328344E-02,4.397125E+02,1.845027E+02,1.766517E-02,1.423778E-02,2.205178E+02,5.309990E+01,8.857795E-03,4.097734E-03,0.000000E+00,2.869824E+01,0.000000E+00,2.214045E-03,2.510389E+02,2.250289E+02,1.008704E-02,1.736363E-02,4.449495E+02,1.554334E+02,1.787499E-02,1.199466E-02,0.000000E+00,3.076372E+01,0.000000E+00,2.373603E-03,0.000000E+00,3.417011E+02,0.000000E+00,2.636357E-02,2.384737E+02,1.162257E+02,9.581780E-03,8.968284E-03,7.065234E+01,2.312226E+02,2.839464E-03,1.784030E-02
00:40:00,6.188925E+01,5.823759E+01,2.487058E-03,4.493544E-03,5.273229E+02,4.895130E+02,2.118967E-02,3.777073E-02,7.588061E+01,1.739000E+02,3.049448E-03,1.341756E-02,4.470999E+02,1.836168E+02,1.796199E-02,1.416940E-02,2.255158E+02,5.360076E+01,9.058599E-03,4.136382E-03,0.000000E+00,3.043882E+01,0.000000E+00,2.348327E-03,2.584215E+02,2.255695E+02,1.038361E-02,1.740534E-02,4.522932E+02,1.550760E+02,1.817006E-02,1.196707E-02,0.000000E+00,3.250041E+01,0.000000E+00,2.507605E-03,0.000000E+00,3.470746E+02,0.000000E+00,2.677815E-02,2.455527E+02,1.175549E+02,9.866179E-03,9.070862E-03,8.129596E+01,2.342929E+02,3.267182E-03,1.807720E-02
00:50:00,6.691072E+01,5.996792E+01,2.688807E-03,4.627067E-03,5.406305E+02,4.916905E+02,2.172427E-02,3.793875E-02,8.261167E+01,1.752551E+02,3.319910E-03,1.352211E-02,4.537033E+02,1.824494E+02,1.822732E-02,1.407929E-02,2.300208E+02,5.389896E+01,9.239602E-03,4.159388E-03,0.000000E+00,3.202479E+01,0.000000E+00,2.470679E-03,2.654355E+02,2.257306E+02,1.066539E-02,1.741777E-02,4.589150E+02,1.544227E+02,1.843613E-02,1.191664E-02,0.000000E+00,3.408272E+01,0.000000E+00,2.629694E-03,0.000000E+00,3.518453E+02,0.000000E+00,2.714621E-02,2.520513E+02,1.185896E+02,1.012727E-02,9.150707E-03,9.161972E+01,2.368932E+02,3.682042E-03,1.827782E-02
01:00:00,7.147446E+01,6.151283E+01,2.872164E-03,4.746277E-03,5.531489E+02,4.933492E+02,2.222718E-02,3.806673E-02,8.871889E+01,1.762888E+02,3.565301E-03,1.360185E-02,4.596439E+02,1.810598E+02,1.846602E-02,1.397204E-02,2.340681E+02,5.402504E+01,9.402224E-03,4.169110E-03,0.000000E+00,3.346559E+01,0.000000E+00,2.581831E-03,2.722073E+02,2.255828E+02,1.093747E-02,1.740634E-02,4.649245E+02,1.535319E+02,1.867760E-02,1.184788E-02,0.000000E+00,3.552350E+01,0.000000E+00,2.740860E-03,0.000000E+00,3.561026E+02,0.000000E+00,2.747465E-02,2.579710E+02,1.193745E+02,1.036511E-02,9.211269E-03,1.004968E+02,2.390998E+02,4.038754E-03,1.844807E-02
01:10:00,7.565759E+01,6.299743E+01,3.040228E-03,4.860830E-03,5.651577E+02,4.952440E+02,2.270964E-02,3.821290E-02,9.439907E+01,1.772459E+02,3.793531E-03,1.367568E-02,4.650267E+02,1.796742E+02,1.868231E-02,1.386508E-02,2.377214E+02,5.407095E+01,9.549019E-03,4.172644E-03,0.000000E+00,3.481957E+01,0.000000E+00,2.686284E-03,2.787065E+02,2.254174E+02,1.119862E-02,1.739355E-02,4.704183E+02,1.526180E+02,1.889835E-02,1.177734E-02,0.000000E+00,3.687627E+01,0.000000E+00,2.845232E-03,0.000000E+00,3.604491E+02,0.000000E+00,2.780997E-02,2.633879E+02,1.201139E+02,1.058275E-02,9.268317E-03,1.084343E+02,2.412896E+02,4.357703E-03,1.861700E-02
01:20:00,7.951662E+01,6.433914E+01,3.195270E-03,4.964355E-03,5.767395E+02,4.968404E+02,2.317497E-02,3.833604E-02,9.965801E+01,1.779920E+02,4.004835E-03,1.373322E-02,4.699306E+02,1.781801E+02,1.887936E-02,1.374977E-02,2.410257E+02,5.400775E+01,9.681789E-03,4.167759E-03,0.000000E+00,3.605675E+01,0.000000E+00,2.781725E-03,2.848074E+02,2.250725E+02,1.144376E-02,1.736692E-02,4.754660E+02,1.515810E+02,1.910118E-02,1.169729E-02,3.079873E-01,3.810426E+01,1.241380E-05,2.939975E-03,5.010755E+00,3.644510E+02,2.014005E-04,2.811870E-02,2.683407E+02,1.206927E+02,1.078175E-02,9.312970E-03,1.156146E+02,2.432244E+02,4.646217E-03,1.876626E-02
01:30:00,8.310548E+01,6.554994E+01,3.339459E-03,5.057777E-03,5.878014E+02,4.981913E+02,2.361943E-02,3.844025E-02,1.045225E+02,1.785623E+02,4.200288E-03,1.377721E-02,4.744260E+02,1.766099E+02,1.905999E-02,1.362858E-02,2.440225E+02,5.385620E+01,9.802199E-03,4.156057E-03,0.000000E+00,3.718825E+01,0.000000E+00,2.869014E-03,2.905296E+02,2.245867E+02,1.167368E-02,1.732941E-02,4.801309E+02,1.504538E+02,1.928862E-02,1.161029E-02,1.352098E+00,3.921763E+01,5.437775E-05,3.025873E-03,9.938665E+00,3.681511E+02,3.994566E-04,2.840414E-02,2.728751E+02,1.211379E+02,1.096394E-02,9.347311E-03,1.221757E+02,2.449442E+02,4.909848E-03,1.889893E-02
01:40:00,8.646882E+01,6.664671E+01,3.474590E-03,5.142400E-03,5.983445E+02,4.993438E+02,2.404304E-02,3.852915E-02,1.090610E+02,1.789876E+02,4.382644E-03,1.381001E-02,4.785963E+02,1.749894E+02,1.922756E-02,1.350352E-02,2.467489E+02,5.363407E+01,9.911743E-03,4.138910E-03,0.000000E+00,3.821819E+01,0.000000E+00,2.948467E-03,2.958912E+02,2.239915E+02,1.188911E-02,1.728347E-02,4.844917E+02,1.492633E+02,1.946383E-02,1.151840E-02,2.807475E+00,4.022904E+01,1.128692E-04,3.103904E-03,1.723135E+01,3.715924E+02,6.925544E-04,2.866961E-02,2.770482E+02,1.214729E+02,1.113161E-02,9.373155E-03,1.282447E+02,2.464852E+02,5.153702E-03,1.901781E-02
