Time,ROOM_4551A1BE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4551A1BE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4551A1BE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4551A1BE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_5245B8FB:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_5245B8FB:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_5245B8FB:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_5245B8FB:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_6BDAFD1B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_6BDAFD1B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_6BDAFD1B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_6BDAFD1B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BC2FAB81:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BC2FAB81:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BC2FAB81:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BC2FAB81:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_CF1F3D8B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_CF1F3D8B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_CF1F3D8B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_CF1F3D8B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F2BB9F6E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F2BB9F6E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F2BB9F6E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F2BB9F6E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.639058E+01,2.077011E+02,1.061061E-03,1.602525E-02,2.371049E+02,2.015109E+02,9.527344E-03,1.554894E-02,5.913040E+02,4.752273E+02,2.376053E-02,3.666877E-02,2.500520E+02,4.661815E+01,1.004395E-02,3.597684E-03,2.897026E+02,3.103835E+02,1.164143E-02,2.394918E-02,3.804869E+01,2.108202E+02,1.529493E-03,1.626601E-02
00:20:00,3.830732E+01,2.124105E+02,1.539988E-03,1.638865E-02,2.457811E+02,2.032438E+02,9.875749E-03,1.568271E-02,6.085673E+02,4.784869E+02,2.445373E-02,3.692043E-02,2.562685E+02,4.749987E+01,1.029346E-02,3.665738E-03,3.013732E+02,3.125208E+02,1.211016E-02,2.411416E-02,5.182484E+01,2.150314E+02,2.083139E-03,1.659096E-02
00:30:00,5.182531E+01,2.164635E+02,2.083262E-03,1.670138E-02,2.537693E+02,2.044226E+02,1.019663E-02,1.577369E-02,6.246779E+02,4.808408E+02,2.510089E-02,3.710213E-02,2.617000E+02,4.811324E+01,1.051165E-02,3.713072E-03,3.121006E+02,3.139476E+02,1.254110E-02,2.422428E-02,6.559782E+01,2.185889E+02,2.636333E-03,1.686547E-02
00:40:00,6.455330E+01,2.199606E+02,2.594365E-03,1.697121E-02,2.613818E+02,2.051465E+02,1.050245E-02,1.582955E-02,6.394036E+02,4.824665E+02,2.569247E-02,3.722761E-02,2.664621E+02,4.849603E+01,1.070299E-02,3.742607E-03,3.221406E+02,3.147953E+02,1.294444E-02,2.428970E-02,7.545975E+01,2.215967E+02,3.032638E-03,1.709755E-02
00:50:00,7.417859E+01,2.229878E+02,2.981165E-03,1.720478E-02,2.686364E+02,2.054977E+02,1.079391E-02,1.585664E-02,6.531338E+02,4.835051E+02,2.624406E-02,3.730775E-02,2.706261E+02,4.868240E+01,1.087029E-02,3.756981E-03,3.317048E+02,3.151715E+02,1.332869E-02,2.431872E-02,8.558666E+01,2.241435E+02,3.439591E-03,1.729404E-02
01:00:00,8.396164E+01,2.256184E+02,3.374304E-03,1.740774E-02,2.755054E+02,2.055446E+02,1.106990E-02,1.586024E-02,6.661074E+02,4.840695E+02,2.676528E-02,3.735128E-02,2.742852E+02,4.870268E+01,1.101731E-02,3.758538E-03,3.407753E+02,3.151641E+02,1.369312E-02,2.431812E-02,9.401283E+01,2.263039E+02,3.778185E-03,1.746072E-02
01:10:00,9.207231E+01,2.282391E+02,3.700225E-03,1.760992E-02,2.819407E+02,2.055642E+02,1.132848E-02,1.586173E-02,6.781632E+02,4.848788E+02,2.724964E-02,3.741370E-02,2.775148E+02,4.863801E+01,1.114707E-02,3.753539E-03,3.493347E+02,3.151921E+02,1.403703E-02,2.432025E-02,1.014529E+02,2.284402E+02,4.077145E-03,1.762553E-02
01:20:00,9.937879E+01,2.306016E+02,3.993821E-03,1.779218E-02,2.879303E+02,2.054065E+02,1.156914E-02,1.584954E-02,6.893225E+02,4.854370E+02,2.769798E-02,3.745674E-02,2.803758E+02,4.846974E+01,1.126202E-02,3.740545E-03,3.573721E+02,3.149997E+02,1.435997E-02,2.430538E-02,1.081685E+02,2.303284E+02,4.346986E-03,1.777119E-02
01:30:00,1.060070E+02,2.327450E+02,4.260161E-03,1.795753E-02,2.934974E+02,2.051082E+02,1.179283E-02,1.582650E-02,6.995651E+02,4.857962E+02,2.810948E-02,3.748442E-02,2.829221E+02,4.821771E+01,1.136433E-02,3.721088E-03,3.648900E+02,3.146314E+02,1.466204E-02,2.427693E-02,1.142776E+02,2.320081E+02,4.592457E-03,1.790076E-02
01:40:00,1.121030E+02,2.347036E+02,4.505110E-03,1.810864E-02,2.986681E+02,2.047000E+02,1.200059E-02,1.579499E-02,7.091279E+02,4.860008E+02,2.849366E-02,3.750018E-02,2.851997E+02,4.789902E+01,1.145583E-02,3.696488E-03,3.719216E+02,3.141251E+02,1.494458E-02,2.423784E-02,1.199051E+02,2.335136E+02,4.818576E-03,1.801691E-02
01:50:00,1.177722E+02,2.365067E+02,4.732910E-03,1.824773E-02,3.034604E+02,2.042075E+02,1.219314E-02,1.575697E-02,7.181069E+02,4.860880E+02,2.885441E-02,3.750689E-02,2.872592E+02,4.752836E+01,1.153858E-02,3.667877E-03,3.784995E+02,3.135125E+02,1.520888E-02,2.419056E-02,1.251385E+02,2.348739E+02,5.028857E-03,1.812185E-02
02:00:00,1.230933E+02,2.381783E+02,4.946721E-03,1.837670E-02,3.078860E+02,2.036518E+02,1.237096E-02,1.571409E-02,7.265891E+02,4.860880E+02,2.919520E-02,3.750687E-02,2.891227E+02,4.711824E+01,1.161345E-02,3.636222E-03,3.846722E+02,3.128196E+02,1.545690E-02,2.413708E-02,1.301055E+02,2.361130E+02,5.228434E-03,1.821744E-02
02:10:00,1.282865E+02,2.397273E+02,5.155391E-03,1.849619E-02,3.120073E+02,2.030349E+02,1.253654E-02,1.566648E-02,7.346731E+02,4.859884E+02,2.952001E-02,3.749918E-02,2.908174E+02,4.666843E+01,1.168154E-02,3.601505E-03,3.904251E+02,3.120481E+02,1.568806E-02,2.407755E-02,1.348915E+02,2.372392E+02,5.420742E-03,1.830432E-02
02:20:00,1.331982E+02,2.411704E+02,5.352756E-03,1.860753E-02,3.158594E+02,2.023703E+02,1.269132E-02,1.561519E-02,7.424806E+02,4.858081E+02,2.983372E-02,3.748526E-02,2.923671E+02,4.618752E+01,1.174380E-02,3.564388E-03,3.957428E+02,3.112148E+02,1.590172E-02,2.401325E-02,1.394343E+02,2.382689E+02,5.603280E-03,1.838376E-02
02:30:00,1.379009E+02,2.425220E+02,5.541719E-03,1.871181E-02,3.194831E+02,2.016692E+02,1.283692E-02,1.556109E-02,7.501633E+02,4.855622E+02,3.014244E-02,3.746628E-02,2.937920E+02,4.568275E+01,1.180104E-02,3.525428E-03,4.007251E+02,3.103335E+02,1.610190E-02,2.394524E-02,1.437653E+02,2.392162E+02,5.777306E-03,1.845684E-02
02:40:00,1.423938E+02,2.437937E+02,5.722254E-03,1.880992E-02,3.229164E+02,2.009408E+02,1.297487E-02,1.550489E-02,7.576353E+02,4.852634E+02,3.044271E-02,3.744321E-02,2.951090E+02,4.516030E+01,1.185395E-02,3.485106E-03,4.054158E+02,3.094155E+02,1.629037E-02,2.387440E-02,1.479829E+02,2.400923E+02,5.946778E-03,1.852443E-02
