Time,ROOM_123E4ED7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_123E4ED7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_123E4ED7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_123E4ED7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_29CCD222:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_29CCD222:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_29CCD222:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_29CCD222:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2D440776:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2D440776:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2D440776:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2D440776:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_605D1C81:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_605D1C81:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_605D1C81:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_605D1C81:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_6D372D36:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_6D372D36:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_6D372D36:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_6D372D36:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7F8DA5DF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7F8DA5DF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7F8DA5DF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7F8DA5DF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_91ED6DCF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_91ED6DCF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_91ED6DCF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_91ED6DCF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_97011B0B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_97011B0B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_97011B0B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_97011B0B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_9BB8AE6D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_9BB8AE6D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_9BB8AE6D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_9BB8AE6D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_ADE91DED:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_ADE91DED:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_ADE91DED:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_ADE91DED:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_AE88A846:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_AE88A846:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_AE88A846:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_AE88A846:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_C7B3DA76:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_C7B3DA76:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_C7B3DA76:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_C7B3DA76:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D27E9E6E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D27E9E6E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D27E9E6E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D27E9E6E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_DABAC803:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_DABAC803:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_DABAC803:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_DABAC803:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E4EA3CC4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E4EA3CC4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E4EA3CC4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E4EA3CC4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,3.270499E+02,0.000000E+00,2.523311E-02,2.685363E+02,1.845450E+02,1.079057E-02,1.423947E-02,2.800281E+02,2.121638E+02,1.125210E-02,1.637074E-02,2.457800E+02,1.398930E+02,9.875546E-03,1.079440E-02,2.602423E+02,1.851293E+02,1.045731E-02,1.428462E-02,7.374501E+02,4.166647E+02,2.962986E-02,3.215137E-02,1.017249E+01,6.023614E+01,4.089529E-04,4.647616E-03,0.000000E+00,3.760637E+01,0.000000E+00,2.901310E-03,2.858170E+02,7.079948E+01,1.148189E-02,5.463466E-03,2.536667E+02,3.308684E+02,1.019355E-02,2.552970E-02,3.870529E+02,3.639555E+02,1.555279E-02,2.808311E-02,7.519524E+02,4.214127E+02,3.021262E-02,3.251771E-02,3.147708E+02,3.498027E+02,1.264885E-02,2.699052E-02,1.987729E+02,1.003558E+02,7.986565E-03,7.743712E-03,4.931193E+02,2.194544E+02,1.981132E-02,1.693458E-02
00:20:00,0.000000E+00,3.322091E+02,0.000000E+00,2.563118E-02,2.790981E+02,1.880156E+02,1.121484E-02,1.450734E-02,2.908336E+02,2.147169E+02,1.168616E-02,1.656780E-02,2.555226E+02,1.420962E+02,1.026693E-02,1.096446E-02,2.707046E+02,1.887832E+02,1.087756E-02,1.456664E-02,7.528324E+02,4.175565E+02,3.024769E-02,3.222030E-02,1.527901E+01,6.262701E+01,6.141745E-04,4.832110E-03,0.000000E+00,3.986677E+01,0.000000E+00,3.075694E-03,2.928040E+02,7.181439E+01,1.176257E-02,5.541815E-03,2.655274E+02,3.330676E+02,1.067002E-02,2.569946E-02,3.993661E+02,3.658686E+02,1.604739E-02,2.823082E-02,7.712316E+02,4.236602E+02,3.098698E-02,3.269128E-02,3.274153E+02,3.527017E+02,1.315680E-02,2.721428E-02,2.058266E+02,1.023238E+02,8.269893E-03,7.895613E-03,5.039370E+02,2.197954E+02,2.024587E-02,1.696096E-02
00:30:00,0.000000E+00,3.365187E+02,0.000000E+00,2.596368E-02,2.890192E+02,1.909146E+02,1.161339E-02,1.473108E-02,3.010455E+02,2.166526E+02,1.209642E-02,1.671720E-02,2.643584E+02,1.438139E+02,1.062193E-02,1.109703E-02,2.801336E+02,1.918569E+02,1.125631E-02,1.480386E-02,7.668551E+02,4.177044E+02,3.081100E-02,3.223177E-02,2.114722E+01,6.471021E+01,8.500028E-04,4.992858E-03,0.000000E+00,4.191844E+01,0.000000E+00,3.233974E-03,2.990063E+02,7.252924E+01,1.201178E-02,5.596991E-03,2.760332E+02,3.345612E+02,1.109205E-02,2.581473E-02,4.107797E+02,3.670359E+02,1.650587E-02,2.832093E-02,7.884853E+02,4.249297E+02,3.168006E-02,3.278930E-02,3.391790E+02,3.548174E+02,1.362939E-02,2.737757E-02,2.124937E+02,1.039144E+02,8.537728E-03,8.018372E-03,5.136031E+02,2.196210E+02,2.063422E-02,1.694751E-02
00:40:00,0.000000E+00,3.401196E+02,0.000000E+00,2.624148E-02,2.982413E+02,1.933326E+02,1.198389E-02,1.491768E-02,3.107718E+02,2.180793E+02,1.248720E-02,1.682730E-02,2.723586E+02,1.451265E+02,1.094335E-02,1.119833E-02,2.887744E+02,1.944374E+02,1.160341E-02,1.500301E-02,7.795466E+02,4.172654E+02,3.132091E-02,3.219791E-02,2.714521E+01,6.651706E+01,1.090920E-03,5.132276E-03,0.000000E+00,4.376181E+01,0.000000E+00,3.376182E-03,3.045018E+02,7.299067E+01,1.223260E-02,5.632600E-03,2.853733E+02,3.354794E+02,1.146725E-02,2.588559E-02,4.215812E+02,3.676035E+02,1.693980E-02,2.836473E-02,8.039130E+02,4.254104E+02,3.229983E-02,3.282640E-02,3.505069E+02,3.562971E+02,1.408450E-02,2.749175E-02,2.188102E+02,1.051818E+02,8.791506E-03,8.116186E-03,5.222209E+02,2.190343E+02,2.098048E-02,1.690223E-02
00:50:00,0.000000E+00,3.431289E+02,0.000000E+00,2.647364E-02,3.070089E+02,1.953461E+02,1.233614E-02,1.507306E-02,3.196899E+02,2.190868E+02,1.284551E-02,1.690503E-02,2.795660E+02,1.461022E+02,1.123292E-02,1.127361E-02,2.969286E+02,1.965990E+02,1.193099E-02,1.516981E-02,7.911557E+02,4.163625E+02,3.178736E-02,3.212823E-02,3.188546E+01,6.807843E+01,1.281399E-03,5.252748E-03,0.000000E+00,4.541183E+01,0.000000E+00,3.503473E-03,3.093865E+02,7.323916E+01,1.242888E-02,5.651771E-03,2.939013E+02,3.359279E+02,1.180983E-02,2.592018E-02,4.316502E+02,3.676886E+02,1.734433E-02,2.837129E-02,8.178501E+02,4.252552E+02,3.285976E-02,3.281441E-02,3.613630E+02,3.572598E+02,1.452067E-02,2.756602E-02,2.247453E+02,1.061737E+02,9.029974E-03,8.192721E-03,5.299710E+02,2.181191E+02,2.129189E-02,1.683159E-02
01:00:00,0.000000E+00,3.456449E+02,0.000000E+00,2.666772E-02,3.151574E+02,1.970201E+02,1.266354E-02,1.520222E-02,3.278563E+02,2.197500E+02,1.317362E-02,1.695619E-02,2.860469E+02,1.467984E+02,1.149331E-02,1.132732E-02,3.046039E+02,1.984056E+02,1.223936E-02,1.530922E-02,8.018339E+02,4.150937E+02,3.221641E-02,3.203030E-02,3.641925E+01,6.942391E+01,1.463579E-03,5.356558E-03,0.000000E+00,4.688689E+01,0.000000E+00,3.617265E-03,3.137513E+02,7.330982E+01,1.260426E-02,5.657216E-03,3.017047E+02,3.359932E+02,1.212332E-02,2.592520E-02,4.410482E+02,3.673863E+02,1.772192E-02,2.834793E-02,8.305905E+02,4.245887E+02,3.337164E-02,3.276295E-02,3.716820E+02,3.578025E+02,1.493528E-02,2.760787E-02,2.302896E+02,1.069314E+02,9.252751E-03,8.251186E-03,5.369841E+02,2.169433E+02,2.157368E-02,1.674084E-02
01:10:00,3.632306E+00,3.481573E+02,1.460587E-04,2.686152E-02,3.227177E+02,1.986988E+02,1.296731E-02,1.533174E-02,3.353463E+02,2.203964E+02,1.347457E-02,1.700605E-02,2.918420E+02,1.474507E+02,1.172616E-02,1.137764E-02,3.119291E+02,2.002029E+02,1.253367E-02,1.544789E-02,8.117319E+02,4.140306E+02,3.261412E-02,3.194823E-02,4.025996E+01,7.067011E+01,1.617900E-03,5.452705E-03,0.000000E+00,4.826325E+01,0.000000E+00,3.723441E-03,3.176720E+02,7.333069E+01,1.276180E-02,5.658817E-03,3.090483E+02,3.361126E+02,1.241834E-02,2.593438E-02,4.498841E+02,3.671831E+02,1.807692E-02,2.833222E-02,8.424570E+02,4.240124E+02,3.384845E-02,3.271844E-02,3.813549E+02,3.584205E+02,1.532394E-02,2.765553E-02,2.353953E+02,1.076349E+02,9.457903E-03,8.305465E-03,5.433751E+02,2.157980E+02,2.183049E-02,1.665243E-02
01:20:00,7.853673E+00,3.503456E+02,3.157188E-04,2.703032E-02,3.297462E+02,2.001640E+02,1.324970E-02,1.544479E-02,3.422113E+02,2.208368E+02,1.375040E-02,1.704001E-02,2.970761E+02,1.479317E+02,1.193645E-02,1.141475E-02,3.188546E+02,2.017721E+02,1.281193E-02,1.556896E-02,8.209553E+02,4.127971E+02,3.298474E-02,3.185301E-02,4.364555E+01,7.175808E+01,1.753931E-03,5.536642E-03,0.000000E+00,4.950179E+01,0.000000E+00,3.818986E-03,3.212096E+02,7.324573E+01,1.290395E-02,5.652252E-03,3.160560E+02,3.360098E+02,1.269988E-02,2.592642E-02,4.583102E+02,3.667701E+02,1.841547E-02,2.830032E-02,8.534545E+02,4.231657E+02,3.429038E-02,3.265307E-02,3.903801E+02,3.587967E+02,1.568657E-02,2.768453E-02,2.400925E+02,1.081869E+02,9.646639E-03,8.348046E-03,5.492314E+02,2.145251E+02,2.206581E-02,1.655418E-02
01:30:00,1.380657E+01,3.522629E+02,5.549692E-04,2.717821E-02,3.363055E+02,2.014532E+02,1.351326E-02,1.554425E-02,3.484989E+02,2.211118E+02,1.400303E-02,1.706122E-02,3.018243E+02,1.482745E+02,1.212722E-02,1.144118E-02,3.254817E+02,2.031515E+02,1.307821E-02,1.567539E-02,8.296479E+02,4.114389E+02,3.333403E-02,3.174818E-02,4.672046E+01,7.270989E+01,1.877477E-03,5.610073E-03,0.000000E+00,5.061933E+01,0.000000E+00,3.905195E-03,3.244192E+02,7.307675E+01,1.303292E-02,5.639204E-03,3.228741E+02,3.357292E+02,1.297382E-02,2.590474E-02,4.661758E+02,3.661940E+02,1.873152E-02,2.825584E-02,8.637075E+02,4.221122E+02,3.470239E-02,3.257174E-02,3.988046E+02,3.589801E+02,1.602506E-02,2.769865E-02,2.443964E+02,1.086133E+02,9.819569E-03,8.380945E-03,5.546317E+02,2.131596E+02,2.228280E-02,1.644879E-02
01:40:00,2.122236E+01,3.539542E+02,8.530120E-04,2.730867E-02,3.424613E+02,2.025977E+02,1.376060E-02,1.563256E-02,3.542045E+02,2.212554E+02,1.423228E-02,1.707228E-02,3.061646E+02,1.485065E+02,1.230162E-02,1.145907E-02,3.318109E+02,2.043736E+02,1.333252E-02,1.576967E-02,8.378472E+02,4.099941E+02,3.366350E-02,3.163667E-02,4.955798E+01,7.354490E+01,1.991486E-03,5.674491E-03,0.000000E+00,5.163105E+01,0.000000E+00,3.983242E-03,3.273574E+02,7.284214E+01,1.315098E-02,5.621093E-03,3.295677E+02,3.353086E+02,1.324278E-02,2.587226E-02,4.735293E+02,3.654942E+02,1.902698E-02,2.820183E-02,8.733565E+02,4.209048E+02,3.509013E-02,3.247855E-02,4.066789E+02,3.590117E+02,1.634146E-02,2.770106E-02,2.483333E+02,1.089366E+02,9.977749E-03,8.405883E-03,5.596702E+02,2.117305E+02,2.248526E-02,1.633850E-02
