Time,ROOM_05ABD83F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_05ABD83F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_05ABD83F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_05ABD83F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_0E759560:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_0E759560:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_0E759560:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_0E759560:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_1FB3609C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1FB3609C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1FB3609C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1FB3609C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3452F56A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3452F56A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3452F56A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3452F56A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_A53D4AB7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_A53D4AB7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_A53D4AB7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_A53D4AB7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.563656E+02,1.844175E+02,1.030112E-02,1.422984E-02,7.492358E+01,8.347418E+01,3.010891E-03,6.440654E-03,2.029337E+02,1.231570E+02,8.153545E-03,9.503234E-03,2.566656E+02,2.234300E+02,1.031299E-02,1.724029E-02,4.160754E+02,1.221285E+02,1.671520E-02,9.424296E-03
00:20:00,2.660693E+02,1.868991E+02,1.069093E-02,1.442139E-02,8.183277E+01,8.614893E+01,3.288483E-03,6.647064E-03,2.103987E+02,1.245106E+02,8.453438E-03,9.607724E-03,2.663522E+02,2.246939E+02,1.070212E-02,1.733786E-02,4.252380E+02,1.231262E+02,1.708336E-02,9.501337E-03
00:30:00,2.752360E+02,1.888253E+02,1.105920E-02,1.457005E-02,8.795487E+01,8.843996E+01,3.534450E-03,6.823857E-03,2.174721E+02,1.254535E+02,8.737637E-03,9.680497E-03,2.758786E+02,2.253833E+02,1.108486E-02,1.739107E-02,4.333957E+02,1.237337E+02,1.741115E-02,9.548239E-03
00:40:00,2.840841E+02,1.902886E+02,1.141470E-02,1.468297E-02,9.352650E+01,9.039467E+01,3.758301E-03,6.974690E-03,2.240649E+02,1.260529E+02,9.002537E-03,9.726745E-03,2.846458E+02,2.256047E+02,1.143714E-02,1.740815E-02,4.406671E+02,1.240185E+02,1.770334E-02,9.570222E-03
00:50:00,2.924399E+02,1.913665E+02,1.175044E-02,1.476615E-02,9.876667E+01,9.205689E+01,3.968839E-03,7.102947E-03,2.300923E+02,1.263660E+02,9.244725E-03,9.750896E-03,2.927062E+02,2.254456E+02,1.176100E-02,1.739585E-02,4.471985E+02,1.240372E+02,1.796578E-02,9.571656E-03
01:00:00,3.001490E+02,1.921243E+02,1.206020E-02,1.482461E-02,1.037578E+02,9.346644E+01,4.169377E-03,7.211703E-03,2.355687E+02,1.264416E+02,9.464771E-03,9.756718E-03,3.000656E+02,2.249783E+02,1.205670E-02,1.735978E-02,4.530972E+02,1.238372E+02,1.820281E-02,9.556210E-03
01:10:00,3.072819E+02,1.928580E+02,1.234680E-02,1.488120E-02,1.086365E+02,9.479143E+01,4.365404E-03,7.313931E-03,2.405149E+02,1.264569E+02,9.663509E-03,9.757884E-03,3.067974E+02,2.244845E+02,1.232719E-02,1.732165E-02,4.584580E+02,1.236256E+02,1.841822E-02,9.539873E-03
01:20:00,3.138684E+02,1.933970E+02,1.261145E-02,1.492278E-02,1.132571E+02,9.594283E+01,4.551073E-03,7.402763E-03,2.450117E+02,1.263276E+02,9.844180E-03,9.747894E-03,3.129418E+02,2.238146E+02,1.257407E-02,1.726994E-02,4.633531E+02,1.232932E+02,1.861491E-02,9.514209E-03
01:30:00,3.199480E+02,1.937772E+02,1.285574E-02,1.495210E-02,1.176158E+02,9.694668E+01,4.726215E-03,7.480209E-03,2.491084E+02,1.260821E+02,1.000879E-02,9.728938E-03,3.185014E+02,2.230072E+02,1.279746E-02,1.720761E-02,4.678493E+02,1.228669E+02,1.879558E-02,9.481304E-03
01:40:00,3.255488E+02,1.940287E+02,1.308078E-02,1.497149E-02,1.217413E+02,9.782496E+01,4.891991E-03,7.547967E-03,2.528592E+02,1.257443E+02,1.015949E-02,9.702855E-03,3.235940E+02,2.220941E+02,1.300206E-02,1.713714E-02,4.720258E+02,1.223692E+02,1.896339E-02,9.442884E-03
01:50:00,3.306619E+02,1.941769E+02,1.328623E-02,1.498292E-02,1.256690E+02,9.859702E+01,5.049824E-03,7.607530E-03,2.563123E+02,1.253342E+02,1.029824E-02,9.671207E-03,3.282735E+02,2.211022E+02,1.319008E-02,1.706059E-02,4.759050E+02,1.218190E+02,1.911926E-02,9.400417E-03
02:00:00,3.354065E+02,1.942432E+02,1.347686E-02,1.498802E-02,1.293314E+02,9.927945E+01,5.196999E-03,7.660178E-03,2.595311E+02,1.248690E+02,1.042758E-02,9.635299E-03,3.326226E+02,2.200533E+02,1.336483E-02,1.697965E-02,4.795239E+02,1.212321E+02,1.926467E-02,9.355121E-03
02:10:00,3.398109E+02,1.942292E+02,1.365382E-02,1.498694E-02,1.327633E+02,9.987924E+01,5.334911E-03,7.706450E-03,2.625755E+02,1.243509E+02,1.054991E-02,9.595317E-03,3.366798E+02,2.189497E+02,1.352786E-02,1.689449E-02,4.829147E+02,1.206022E+02,1.940091E-02,9.306509E-03
02:20:00,3.439267E+02,1.941491E+02,1.381920E-02,1.498075E-02,1.359805E+02,1.004084E+02,5.464196E-03,7.747272E-03,2.654376E+02,1.237913E+02,1.066493E-02,9.552133E-03,3.405014E+02,2.178056E+02,1.368142E-02,1.680620E-02,4.861054E+02,1.199394E+02,1.952911E-02,9.255354E-03
02:30:00,3.478018E+02,1.940145E+02,1.397490E-02,1.497036E-02,1.390086E+02,1.008771E+02,5.585881E-03,7.783435E-03,2.681416E+02,1.231995E+02,1.077359E-02,9.506465E-03,3.441830E+02,2.166324E+02,1.382936E-02,1.671567E-02,4.891191E+02,1.192519E+02,1.965020E-02,9.202299E-03
02:40:00,3.514887E+02,1.938351E+02,1.412305E-02,1.495652E-02,1.418572E+02,1.012940E+02,5.700352E-03,7.815596E-03,2.707014E+02,1.225833E+02,1.087646E-02,9.458916E-03,3.476955E+02,2.154395E+02,1.397052E-02,1.662363E-02,4.919758E+02,1.185468E+02,1.976498E-02,9.147884E-03
02:50:00,3.550702E+02,1.936193E+02,1.426697E-02,1.493985E-02,1.445407E+02,1.016662E+02,5.808194E-03,7.844306E-03,2.731320E+02,1.219493E+02,1.097413E-02,9.409990E-03,3.510650E+02,2.142349E+02,1.410593E-02,1.653067E-02,4.946922E+02,1.178300E+02,1.987412E-02,9.092566E-03
03:00:00,3.585151E+02,1.933738E+02,1.440542E-02,1.492091E-02,1.470727E+02,1.019997E+02,5.909943E-03,7.870035E-03,2.754459E+02,1.213029E+02,1.106711E-02,9.360110E-03,3.543002E+02,2.130248E+02,1.423594E-02,1.643730E-02,4.972827E+02,1.171065E+02,1.997820E-02,9.036732E-03
03:10:00,3.618399E+02,1.930885E+02,1.453902E-02,1.489889E-02,1.494645E+02,1.022962E+02,6.006061E-03,7.892912E-03,2.776544E+02,1.206373E+02,1.115586E-02,9.308747E-03,3.574133E+02,2.117992E+02,1.436103E-02,1.634273E-02,4.997592E+02,1.163615E+02,2.007770E-02,8.979236E-03
03:20:00,3.650502E+02,1.927678E+02,1.466803E-02,1.487415E-02,1.517258E+02,1.025578E+02,6.096931E-03,7.913095E-03,2.797672E+02,1.199558E+02,1.124076E-02,9.256160E-03,3.604138E+02,2.105617E+02,1.448161E-02,1.624724E-02,5.021321E+02,1.155976E+02,2.017304E-02,8.920286E-03
03:30:00,3.681545E+02,1.924152E+02,1.479278E-02,1.484694E-02,1.538636E+02,1.027874E+02,6.182843E-03,7.930808E-03,2.817928E+02,1.192612E+02,1.132215E-02,9.202563E-03,3.633105E+02,2.093155E+02,1.459801E-02,1.615107E-02,5.044104E+02,1.148171E+02,2.026458E-02,8.860058E-03
03:40:00,3.711561E+02,1.920338E+02,1.491340E-02,1.481750E-02,1.558793E+02,1.029894E+02,6.263845E-03,7.946392E-03,2.837363E+02,1.185559E+02,1.140025E-02,9.148138E-03,3.661074E+02,2.080629E+02,1.471040E-02,1.605442E-02,5.065996E+02,1.140222E+02,2.035253E-02,8.798708E-03
03:50:00,3.740616E+02,1.916262E+02,1.503016E-02,1.478605E-02,1.577649E+02,1.031656E+02,6.339616E-03,7.959989E-03,2.856045E+02,1.178419E+02,1.147532E-02,9.093040E-03,3.688113E+02,2.068061E+02,1.481906E-02,1.595744E-02,5.087063E+02,1.132145E+02,2.043718E-02,8.736377E-03
04:00:00,3.768780E+02,1.911947E+02,1.514333E-02,1.475276E-02,1.595342E+02,1.033180E+02,6.410713E-03,7.971743E-03,2.874035E+02,1.171209E+02,1.154761E-02,9.037402E-03,3.714293E+02,2.055469E+02,1.492426E-02,1.586028E-02,5.107371E+02,1.123957E+02,2.051877E-02,8.673190E-03
04:10:00,3.796109E+02,1.907558E+02,1.525315E-02,1.471889E-02,1.612081E+02,1.034519E+02,6.477974E-03,7.982072E-03,2.891388E+02,1.164047E+02,1.161733E-02,8.982135E-03,3.739669E+02,2.043017E+02,1.502623E-02,1.576419E-02,5.126974E+02,1.115840E+02,2.059753E-02,8.610555E-03
04:20:00,3.822652E+02,1.903114E+02,1.535981E-02,1.468460E-02,1.628004E+02,1.035711E+02,6.541960E-03,7.991267E-03,2.908150E+02,1.156944E+02,1.168469E-02,8.927328E-03,3.764291E+02,2.030708E+02,1.512517E-02,1.566921E-02,5.145917E+02,1.107809E+02,2.067363E-02,8.548573E-03
04:30:00,3.848454E+02,1.898648E+02,1.546349E-02,1.465013E-02,1.643247E+02,1.036776E+02,6.603213E-03,7.999485E-03,2.924360E+02,1.149924E+02,1.174982E-02,8.873154E-03,3.788201E+02,2.018570E+02,1.522124E-02,1.557556E-02,5.164242E+02,1.099892E+02,2.074726E-02,8.487478E-03
04:40:00,3.873590E+02,1.903128E+02,1.556450E-02,1.468470E-02,1.657983E+02,1.041509E+02,6.662429E-03,8.036001E-03,2.940077E+02,1.148037E+02,1.181297E-02,8.858594E-03,3.811471E+02,2.010424E+02,1.531475E-02,1.551270E-02,5.182006E+02,1.102961E+02,2.081863E-02,8.511156E-03
04:50:00,3.898092E+02,1.926903E+02,1.566296E-02,1.486816E-02,1.672459E+02,1.053984E+02,6.720602E-03,8.132263E-03,2.955330E+02,1.155396E+02,1.187426E-02,8.915382E-03,3.834134E+02,2.007213E+02,1.540582E-02,1.548793E-02,5.199239E+02,1.129165E+02,2.088787E-02,8.713377E-03
05:00:00,3.921979E+02,1.983944E+02,1.575894E-02,1.530833E-02,1.686690E+02,1.078542E+02,6.777795E-03,8.321750E-03,2.970140E+02,1.176218E+02,1.193377E-02,9.076070E-03,3.856206E+02,2.010325E+02,1.549451E-02,1.551195E-02,5.215964E+02,1.192593E+02,2.095506E-02,9.202892E-03
05:10:00,4.489070E+02,2.340034E+02,1.828783E-02,1.825417E-02,2.020428E+02,1.271971E+02,8.239147E-03,9.920426E-03,3.328936E+02,1.368266E+02,1.356669E-02,1.067313E-02,4.384952E+02,2.260565E+02,1.786510E-02,1.761341E-02,5.669893E+02,1.481208E+02,2.309614E-02,1.157345E-02
05:20:00,4.688769E+02,2.582394E+02,1.939489E-02,2.049174E-02,2.159662E+02,1.391999E+02,8.948404E-03,1.103969E-02,3.494841E+02,1.490516E+02,1.446962E-02,1.182214E-02,4.585381E+02,2.371942E+02,1.897159E-02,1.876587E-02,5.876306E+02,1.715467E+02,2.431102E-02,1.365510E-02
05:30:00,5.112908E+02,2.981296E+02,2.148519E-02,2.404051E-02,2.429301E+02,1.583711E+02,1.022911E-02,1.275960E-02,3.773503E+02,1.680683E+02,1.586646E-02,1.353959E-02,4.983251E+02,2.586512E+02,2.094301E-02,2.078172E-02,6.212587E+02,2.060782E+02,2.609422E-02,1.666683E-02
