Time,ROOM_03746E2B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_03746E2B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_03746E2B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_03746E2B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2158C36E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2158C36E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2158C36E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2158C36E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2A73B7C2:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2A73B7C2:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2A73B7C2:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2A73B7C2:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3B43E7C4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3B43E7C4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3B43E7C4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3B43E7C4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4DD13587:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4DD13587:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4DD13587:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4DD13587:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_84DBB030:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_84DBB030:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_84DBB030:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_84DBB030:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_88EC3072:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_88EC3072:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_88EC3072:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_88EC3072:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_97CA74D7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_97CA74D7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_97CA74D7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_97CA74D7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_AD6B393A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_AD6B393A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_AD6B393A:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_AD6B393A:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E96334C5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E96334C5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E96334C5:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E96334C5:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F9A9F791:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F9A9F791:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F9A9F791:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F9A9F791:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.439419E+02,3.781984E+02,1.382088E-02,2.918190E-02,3.462120E+01,1.571931E+02,1.391742E-03,1.212842E-02,0.000000E+00,2.416628E+02,0.000000E+00,1.864544E-02,2.459041E+00,1.971457E+02,9.908107E-05,1.521083E-02,0.000000E+00,2.516022E+02,0.000000E+00,1.941231E-02,3.817369E+02,6.758080E+02,1.534106E-02,5.214367E-02,2.866161E+02,4.157380E+02,1.151792E-02,3.207790E-02,2.819568E+02,1.604088E+02,1.132886E-02,1.237776E-02,3.344895E+01,4.468578E+01,1.344189E-03,3.447934E-03,2.510189E+02,2.124683E+02,1.008688E-02,1.639412E-02,3.703863E+02,3.810423E+02,1.488404E-02,2.940081E-02
00:20:00,3.565820E+02,3.801803E+02,1.432852E-02,2.933490E-02,4.715317E+01,1.610893E+02,1.895382E-03,1.242909E-02,4.798886E-01,2.465444E+02,1.936541E-05,1.902211E-02,7.524295E+00,2.022974E+02,3.026594E-04,1.560835E-02,0.000000E+00,2.568165E+02,0.000000E+00,1.981466E-02,4.063321E+02,6.811935E+02,1.632925E-02,5.255932E-02,3.000694E+02,4.182805E+02,1.205832E-02,3.227415E-02,2.912983E+02,1.618778E+02,1.170394E-02,1.249115E-02,3.951001E+01,4.681249E+01,1.587720E-03,3.612051E-03,2.610153E+02,2.153375E+02,1.048834E-02,1.661558E-02,3.859239E+02,3.856080E+02,1.550812E-02,2.975320E-02
00:30:00,3.682821E+02,3.813657E+02,1.479853E-02,2.942640E-02,5.945762E+01,1.644530E+02,2.389546E-03,1.268864E-02,5.049914E+00,2.507064E+02,2.030409E-04,1.934324E-02,1.393689E+01,2.068302E+02,5.603839E-04,1.595812E-02,4.487290E+00,2.613153E+02,1.804350E-04,2.016179E-02,4.262307E+02,6.853976E+02,1.712873E-02,5.288376E-02,3.118160E+02,4.199881E+02,1.253021E-02,3.240594E-02,2.997755E+02,1.628509E+02,1.204450E-02,1.256627E-02,4.489697E+01,4.865023E+01,1.804153E-03,3.753862E-03,2.698168E+02,2.176124E+02,1.084186E-02,1.679115E-02,4.000375E+02,3.892510E+02,1.607509E-02,3.003436E-02
00:40:00,3.795752E+02,3.819110E+02,1.525223E-02,2.946848E-02,6.871943E+01,1.673560E+02,2.761730E-03,1.291264E-02,1.001750E+01,2.542655E+02,4.026907E-04,1.961784E-02,2.240022E+01,2.108332E+02,9.005251E-04,1.626698E-02,9.653115E+00,2.652089E+02,3.880528E-04,2.046220E-02,4.440218E+02,6.886507E+02,1.784353E-02,5.313478E-02,3.222604E+02,4.210259E+02,1.294978E-02,3.248602E-02,3.073975E+02,1.634162E+02,1.235071E-02,1.260989E-02,4.936688E+01,5.022673E+01,1.983728E-03,3.875509E-03,2.778950E+02,2.193933E+02,1.116635E-02,1.692859E-02,4.132466E+02,3.921328E+02,1.660575E-02,3.025674E-02
00:50:00,3.904850E+02,3.819423E+02,1.569055E-02,2.947087E-02,7.803685E+01,1.698630E+02,3.136146E-03,1.310608E-02,1.711943E+01,2.573211E+02,6.881196E-04,1.985359E-02,3.245027E+01,2.143849E+02,1.304431E-03,1.654102E-02,1.700439E+01,2.685922E+02,6.835035E-04,2.072323E-02,4.601076E+02,6.911358E+02,1.848979E-02,5.332651E-02,3.317699E+02,4.215267E+02,1.333179E-02,3.252464E-02,3.142488E+02,1.636473E+02,1.262595E-02,1.262771E-02,5.317713E+01,5.157071E+01,2.136794E-03,3.979209E-03,2.853895E+02,2.207647E+02,1.146741E-02,1.703441E-02,4.258616E+02,3.943865E+02,1.711256E-02,3.043064E-02
01:00:00,4.006492E+02,3.815615E+02,1.609894E-02,2.944146E-02,8.595582E+01,1.720304E+02,3.454352E-03,1.327330E-02,2.572987E+01,2.599562E+02,1.034172E-03,2.005688E-02,4.392895E+01,2.175524E+02,1.765749E-03,1.678541E-02,2.610181E+01,2.715453E+02,1.049128E-03,2.095106E-02,4.747181E+02,6.929987E+02,1.907678E-02,5.347022E-02,3.405506E+02,4.215971E+02,1.368454E-02,3.253004E-02,3.204287E+02,1.636058E+02,1.287422E-02,1.262449E-02,5.645833E+01,5.271026E+01,2.268606E-03,4.067130E-03,2.924953E+02,2.217968E+02,1.175289E-02,1.711404E-02,4.379934E+02,3.961215E+02,1.759998E-02,3.056449E-02
01:10:00,4.101279E+02,3.812508E+02,1.647978E-02,2.941744E-02,9.301164E+01,1.741505E+02,3.737868E-03,1.343687E-02,3.569442E+01,2.625777E+02,1.434642E-03,2.025912E-02,5.424999E+01,2.207221E+02,2.180283E-03,1.702995E-02,3.671184E+01,2.745120E+02,1.475541E-03,2.117993E-02,4.880814E+02,6.952204E+02,1.961366E-02,5.364158E-02,3.489014E+02,4.217799E+02,1.402004E-02,3.254411E-02,3.260344E+02,1.635243E+02,1.309945E-02,1.261819E-02,5.933312E+01,5.373090E+01,2.384091E-03,4.145875E-03,2.993908E+02,2.228354E+02,1.202993E-02,1.719416E-02,4.497201E+02,3.979472E+02,1.807115E-02,3.070534E-02
01:20:00,4.189495E+02,3.807136E+02,1.683422E-02,2.937596E-02,9.932278E+01,1.760383E+02,3.991454E-03,1.358251E-02,4.641441E+01,2.649252E+02,1.865390E-03,2.044021E-02,6.315710E+01,2.236358E+02,2.538231E-03,1.725475E-02,4.869724E+01,2.771939E+02,1.957224E-03,2.138683E-02,5.004177E+02,6.970922E+02,2.010928E-02,5.378595E-02,3.570110E+02,4.217247E+02,1.434586E-02,3.253981E-02,3.311445E+02,1.632847E+02,1.330477E-02,1.259968E-02,6.193523E+01,5.460314E+01,2.488630E-03,4.213169E-03,3.060718E+02,2.236678E+02,1.229838E-02,1.725838E-02,4.609540E+02,3.994600E+02,1.852254E-02,3.082204E-02
01:30:00,4.271650E+02,3.800012E+02,1.716431E-02,2.932096E-02,1.050077E+02,1.777318E+02,4.219871E-03,1.371316E-02,5.416616E+01,2.670475E+02,2.176911E-03,2.060393E-02,7.180450E+01,2.263357E+02,2.885737E-03,1.746304E-02,5.744212E+01,2.796402E+02,2.308575E-03,2.157555E-02,5.120802E+02,6.986848E+02,2.057783E-02,5.390878E-02,3.649583E+02,4.214841E+02,1.466519E-02,3.252121E-02,3.358422E+02,1.629216E+02,1.349352E-02,1.257164E-02,6.435300E+01,5.534992E+01,2.585770E-03,4.270781E-03,3.125730E+02,2.243345E+02,1.255961E-02,1.730980E-02,4.715543E+02,4.007201E+02,1.894846E-02,3.091924E-02
01:40:00,4.348228E+02,3.791553E+02,1.747200E-02,2.925567E-02,1.101625E+02,1.792603E+02,4.426991E-03,1.383108E-02,6.256234E+01,2.689818E+02,2.514331E-03,2.075315E-02,7.941781E+01,2.288537E+02,3.191679E-03,1.765730E-02,6.666491E+01,2.818878E+02,2.679214E-03,2.174894E-02,5.233774E+02,7.000541E+02,2.103173E-02,5.401439E-02,3.727537E+02,4.211006E+02,1.497842E-02,3.249159E-02,3.402500E+02,1.624630E+02,1.367064E-02,1.253625E-02,6.667533E+01,5.598983E+01,2.679083E-03,4.320149E-03,3.187224E+02,2.248674E+02,1.280672E-02,1.735091E-02,4.815620E+02,4.017745E+02,1.935058E-02,3.100057E-02
