Time,ROOM_1839CC8F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1839CC8F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1839CC8F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1839CC8F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2E2D7779:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2E2D7779:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2E2D7779:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2E2D7779:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2FA010A8:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2FA010A8:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2FA010A8:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2FA010A8:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3CE88DE1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3CE88DE1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3CE88DE1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3CE88DE1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_CD350907:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_CD350907:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_CD350907:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_CD350907:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_DBDF577D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_DBDF577D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_DBDF577D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_DBDF577D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_DE92ABD9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_DE92ABD9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_DE92ABD9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_DE92ABD9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E5C673A0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E5C673A0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E5C673A0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E5C673A0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_EAF91A45:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_EAF91A45:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_EAF91A45:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_EAF91A45:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_FA36241B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_FA36241B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_FA36241B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_FA36241B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_FD1BC703:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_FD1BC703:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_FD1BC703:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_FD1BC703:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.691658E+02,2.921140E+02,1.081609E-02,2.253952E-02,3.757105E+02,1.090355E+02,1.509378E-02,8.413922E-03,3.022267E+02,2.879577E+02,1.214433E-02,2.221897E-02,4.589288E+02,2.365181E+02,1.843979E-02,1.825024E-02,2.951384E+02,4.994210E+01,1.185564E-02,3.853985E-03,0.000000E+00,1.187333E+02,0.000000E+00,9.160798E-03,2.584048E+02,1.445401E+02,1.038294E-02,1.115290E-02,1.002844E+03,4.752675E+02,4.029210E-02,3.667366E-02,6.941700E+02,1.725529E+02,2.788605E-02,1.331580E-02,1.872653E+02,8.576223E+01,7.524288E-03,6.617569E-03,2.199955E+02,1.560394E+02,8.840309E-03,1.203985E-02
00:20:00,2.800152E+02,2.943326E+02,1.125190E-02,2.271078E-02,3.844748E+02,1.102111E+02,1.544586E-02,8.504686E-03,3.137176E+02,2.904178E+02,1.260591E-02,2.240886E-02,4.724445E+02,2.390749E+02,1.898270E-02,1.844762E-02,3.013370E+02,5.076778E+01,1.210464E-02,3.917725E-03,1.519127E+00,1.226795E+02,6.122047E-05,9.465293E-03,2.678585E+02,1.472152E+02,1.076270E-02,1.135938E-02,1.022189E+03,4.766197E+02,4.106918E-02,3.677816E-02,7.049988E+02,1.729788E+02,2.832100E-02,1.334873E-02,1.953345E+02,8.786983E+01,7.848452E-03,6.780239E-03,2.302188E+02,1.596780E+02,9.250992E-03,1.232067E-02
00:30:00,2.897529E+02,2.958723E+02,1.164307E-02,2.282962E-02,3.922808E+02,1.110134E+02,1.575950E-02,8.566624E-03,3.243842E+02,2.921556E+02,1.303440E-02,2.254299E-02,4.845265E+02,2.410112E+02,1.946805E-02,1.859709E-02,3.067754E+02,5.135562E+01,1.232315E-02,3.963098E-03,4.780917E+00,1.261213E+02,1.923156E-04,9.730859E-03,2.769763E+02,1.494017E+02,1.112900E-02,1.152814E-02,1.039582E+03,4.770986E+02,4.176793E-02,3.681519E-02,7.144665E+02,1.729509E+02,2.870138E-02,1.334659E-02,2.028819E+02,8.960778E+01,8.151679E-03,6.914370E-03,2.395384E+02,1.628049E+02,9.625375E-03,1.256199E-02
00:40:00,2.987784E+02,2.968575E+02,1.200564E-02,2.290564E-02,3.992109E+02,1.115047E+02,1.603795E-02,8.604538E-03,3.345567E+02,2.933017E+02,1.344308E-02,2.263142E-02,4.953860E+02,2.424354E+02,1.990429E-02,1.870701E-02,3.115374E+02,5.174073E+01,1.251449E-02,3.992820E-03,8.953147E+00,1.291226E+02,3.599987E-04,9.962431E-03,2.854392E+02,1.511761E+02,1.146902E-02,1.166508E-02,1.055296E+03,4.768876E+02,4.239927E-02,3.679894E-02,7.227909E+02,1.725591E+02,2.903584E-02,1.331636E-02,2.097153E+02,9.102751E+01,8.426237E-03,7.023934E-03,2.482288E+02,1.654925E+02,9.974491E-03,1.276939E-02
00:50:00,3.073454E+02,2.973902E+02,1.234981E-02,2.294673E-02,4.054064E+02,1.117376E+02,1.628690E-02,8.622509E-03,3.443977E+02,2.939638E+02,1.383846E-02,2.268250E-02,5.051472E+02,2.434373E+02,2.029643E-02,1.878432E-02,3.157373E+02,5.195441E+01,1.268324E-02,4.009307E-03,1.444054E+01,1.317431E+02,5.805365E-04,1.016461E-02,2.932066E+02,1.526046E+02,1.178109E-02,1.177530E-02,1.069617E+03,4.761310E+02,4.297463E-02,3.674056E-02,7.301785E+02,1.718766E+02,2.933267E-02,1.326367E-02,2.158875E+02,9.217547E+01,8.674225E-03,7.112518E-03,2.562769E+02,1.678049E+02,1.029782E-02,1.294783E-02
01:00:00,3.155738E+02,2.975539E+02,1.268040E-02,2.295934E-02,4.109732E+02,1.117568E+02,1.651058E-02,8.623982E-03,3.536525E+02,2.942306E+02,1.421032E-02,2.270307E-02,5.139964E+02,2.440912E+02,2.065195E-02,1.883477E-02,3.194613E+02,5.202405E+01,1.283287E-02,4.014676E-03,2.092902E+01,1.340358E+02,8.413040E-04,1.034149E-02,3.003101E+02,1.537431E+02,1.206650E-02,1.186316E-02,1.082767E+03,4.749434E+02,4.350304E-02,3.664889E-02,7.367948E+02,1.709625E+02,2.959851E-02,1.319311E-02,2.214373E+02,9.309242E+01,8.897214E-03,7.183270E-03,2.638388E+02,1.697974E+02,1.060164E-02,1.310158E-02
01:10:00,3.235458E+02,2.977496E+02,1.300071E-02,2.297441E-02,4.160059E+02,1.117526E+02,1.671281E-02,8.623646E-03,3.623475E+02,2.945058E+02,1.455968E-02,2.272428E-02,5.220939E+02,2.447984E+02,2.097729E-02,1.888933E-02,3.227843E+02,5.205397E+01,1.296639E-02,4.016978E-03,2.828880E+01,1.362328E+02,1.137085E-03,1.051099E-02,3.068153E+02,1.548581E+02,1.232787E-02,1.194918E-02,1.094949E+03,4.740235E+02,4.399249E-02,3.657787E-02,7.427792E+02,1.700967E+02,2.983895E-02,1.312628E-02,2.264346E+02,9.394651E+01,9.098006E-03,7.249167E-03,2.710253E+02,1.717934E+02,1.089038E-02,1.325559E-02
01:20:00,3.310823E+02,2.977311E+02,1.330354E-02,2.297296E-02,4.205788E+02,1.116261E+02,1.689656E-02,8.613869E-03,3.705322E+02,2.945496E+02,1.488854E-02,2.272763E-02,5.295916E+02,2.453051E+02,2.127855E-02,1.892841E-02,3.257659E+02,5.199898E+01,1.308618E-02,4.012729E-03,3.488380E+01,1.382010E+02,1.401959E-03,1.066283E-02,3.127585E+02,1.557930E+02,1.256666E-02,1.202131E-02,1.106307E+03,4.729062E+02,4.444888E-02,3.649162E-02,7.482729E+02,1.691242E+02,3.005968E-02,1.305122E-02,2.309062E+02,9.464994E+01,9.277680E-03,7.303439E-03,2.778951E+02,1.735813E+02,1.116641E-02,1.339354E-02
01:30:00,3.383496E+02,2.975429E+02,1.359555E-02,2.295842E-02,4.247584E+02,1.114037E+02,1.706450E-02,8.596703E-03,3.781791E+02,2.944100E+02,1.519580E-02,2.271683E-02,5.366560E+02,2.456527E+02,2.156242E-02,1.895522E-02,3.284577E+02,5.187709E+01,1.319434E-02,4.003317E-03,4.036924E+01,1.399769E+02,1.622398E-03,1.079984E-02,3.181385E+02,1.565821E+02,1.278283E-02,1.208218E-02,1.117009E+03,4.716457E+02,4.487892E-02,3.639432E-02,7.533262E+02,1.680762E+02,3.026271E-02,1.297032E-02,2.349385E+02,9.522988E+01,9.439692E-03,7.348180E-03,2.844828E+02,1.751976E+02,1.143112E-02,1.351825E-02
01:40:00,3.452179E+02,2.972216E+02,1.387153E-02,2.293361E-02,4.286233E+02,1.111074E+02,1.721980E-02,8.573823E-03,3.853213E+02,2.941261E+02,1.548278E-02,2.269491E-02,5.432808E+02,2.458745E+02,2.182864E-02,1.897232E-02,3.309194E+02,5.170319E+01,1.329325E-02,3.989893E-03,4.545343E+01,1.415891E+02,1.826709E-03,1.092421E-02,3.230704E+02,1.572524E+02,1.298098E-02,1.213390E-02,1.127108E+03,4.702861E+02,4.528471E-02,3.628938E-02,7.580062E+02,1.669779E+02,3.045074E-02,1.288555E-02,2.385929E+02,9.570798E+01,9.586524E-03,7.385064E-03,2.906980E+02,1.766704E+02,1.168087E-02,1.363188E-02
01:50:00,3.517145E+02,2.967971E+02,1.413258E-02,2.290083E-02,4.322003E+02,1.107551E+02,1.736352E-02,8.546630E-03,3.919892E+02,2.937301E+02,1.575070E-02,2.266434E-02,5.495544E+02,2.459980E+02,2.208074E-02,1.898183E-02,3.331720E+02,5.148992E+01,1.338375E-02,3.973431E-03,4.986071E+01,1.430610E+02,2.003811E-03,1.103776E-02,3.276086E+02,1.578263E+02,1.316331E-02,1.217817E-02,1.136685E+03,4.688638E+02,4.566954E-02,3.617961E-02,7.623703E+02,1.658503E+02,3.062608E-02,1.279852E-02,2.419288E+02,9.610236E+01,9.720561E-03,7.415489E-03,2.965618E+02,1.780228E+02,1.191649E-02,1.373622E-02
02:00:00,3.578508E+02,2.962942E+02,1.437914E-02,2.286202E-02,4.355272E+02,1.103621E+02,1.749720E-02,8.516301E-03,3.982276E+02,2.932486E+02,1.600136E-02,2.262717E-02,5.554918E+02,2.460460E+02,2.231933E-02,1.898553E-02,3.352442E+02,5.124816E+01,1.346700E-02,3.954771E-03,5.387631E+01,1.444132E+02,2.165173E-03,1.114208E-02,3.318338E+02,1.583226E+02,1.333308E-02,1.221646E-02,1.145807E+03,4.674083E+02,4.603608E-02,3.606728E-02,7.664644E+02,1.647106E+02,3.079057E-02,1.271056E-02,2.450098E+02,9.642854E+01,9.844363E-03,7.440652E-03,3.020901E+02,1.792748E+02,1.213863E-02,1.383281E-02
02:10:00,3.636640E+02,2.957142E+02,1.461272E-02,2.281725E-02,4.386370E+02,1.099234E+02,1.762215E-02,8.482441E-03,4.039752E+02,2.926832E+02,1.623230E-02,2.258353E-02,5.611302E+02,2.460125E+02,2.254591E-02,1.898294E-02,3.371609E+02,5.097433E+01,1.354401E-02,3.933637E-03,5.762165E+01,1.456584E+02,2.315674E-03,1.123815E-02,3.357824E+02,1.587389E+02,1.349174E-02,1.224858E-02,1.154528E+03,4.658923E+02,4.638650E-02,3.595029E-02,7.703253E+02,1.635421E+02,3.094569E-02,1.262038E-02,2.478723E+02,9.668740E+01,9.959384E-03,7.460621E-03,3.073217E+02,1.804248E+02,1.234884E-02,1.392154E-02
02:20:00,3.691441E+02,2.950731E+02,1.483292E-02,2.276778E-02,4.415575E+02,1.094487E+02,1.773950E-02,8.445806E-03,4.093470E+02,2.920512E+02,1.644813E-02,2.253476E-02,5.665027E+02,2.459124E+02,2.276180E-02,1.897521E-02,3.389432E+02,5.067491E+01,1.361562E-02,3.910528E-03,6.119205E+01,1.468091E+02,2.459146E-03,1.132691E-02,3.395087E+02,1.590878E+02,1.364147E-02,1.227549E-02,1.162893E+03,4.643330E+02,4.672261E-02,3.582995E-02,7.739830E+02,1.623548E+02,3.109264E-02,1.252875E-02,2.505831E+02,9.689073E+01,1.006831E-02,7.476307E-03,3.122572E+02,1.814871E+02,1.254716E-02,1.400350E-02
02:30:00,3.742824E+02,2.943842E+02,1.503938E-02,2.271462E-02,4.443119E+02,1.089462E+02,1.785017E-02,8.407023E-03,4.143803E+02,2.913667E+02,1.665036E-02,2.248194E-02,5.716379E+02,2.457578E+02,2.296815E-02,1.896328E-02,3.406087E+02,5.035528E+01,1.368253E-02,3.885860E-03,6.468597E+01,1.478781E+02,2.599544E-03,1.140939E-02,3.431061E+02,1.593827E+02,1.378602E-02,1.229825E-02,1.170939E+03,4.627442E+02,4.704589E-02,3.570735E-02,7.774621E+02,1.611567E+02,3.123241E-02,1.243629E-02,2.531439E+02,9.704887E+01,1.017123E-02,7.488505E-03,3.169088E+02,1.824744E+02,1.273407E-02,1.407968E-02
02:40:00,3.790683E+02,2.936583E+02,1.523168E-02,2.265860E-02,4.469199E+02,1.084227E+02,1.795495E-02,8.366622E-03,4.191297E+02,2.906413E+02,1.684119E-02,2.242597E-02,5.765600E+02,2.455590E+02,2.316594E-02,1.894793E-02,3.421721E+02,5.001999E+01,1.374534E-02,3.859983E-03,6.820371E+01,1.488761E+02,2.740901E-03,1.148638E-02,3.465446E+02,1.596326E+02,1.392421E-02,1.231752E-02,1.178695E+03,4.611376E+02,4.735756E-02,3.558336E-02,7.807824E+02,1.599548E+02,3.136581E-02,1.234353E-02,2.555725E+02,9.716873E+01,1.026882E-02,7.497751E-03,3.212781E+02,1.833968E+02,1.290964E-02,1.415084E-02
02:50:00,3.835815E+02,2.929044E+02,1.541301E-02,2.260043E-02,4.493978E+02,1.078840E+02,1.805451E-02,8.325052E-03,4.236422E+02,2.898847E+02,1.702251E-02,2.236759E-02,5.812897E+02,2.453245E+02,2.335599E-02,1.892983E-02,3.436457E+02,4.967294E+01,1.380455E-02,3.833198E-03,7.159248E+01,1.498117E+02,2.877077E-03,1.155856E-02,3.498490E+02,1.598439E+02,1.405700E-02,1.233382E-02,1.186188E+03,4.595226E+02,4.765863E-02,3.545874E-02,7.839604E+02,1.587546E+02,3.149349E-02,1.225090E-02,2.578813E+02,9.725636E+01,1.036160E-02,7.504510E-03,3.253391E+02,1.842626E+02,1.307281E-02,1.421764E-02
03:00:00,3.878562E+02,2.921300E+02,1.558477E-02,2.254068E-02,4.517594E+02,1.073351E+02,1.814940E-02,8.282691E-03,4.279708E+02,2.891051E+02,1.719644E-02,2.230743E-02,5.858445E+02,2.450616E+02,2.353902E-02,1.890954E-02,3.450400E+02,4.931727E+01,1.386056E-02,3.805748E-03,7.485704E+01,1.506922E+02,3.008261E-03,1.162649E-02,3.530270E+02,1.600223E+02,1.418471E-02,1.234759E-02,1.193439E+03,4.579073E+02,4.794996E-02,3.533409E-02,7.870097E+02,1.575611E+02,3.161599E-02,1.215879E-02,2.600831E+02,9.731702E+01,1.045008E-02,7.509188E-03,3.291649E+02,1.850789E+02,1.322653E-02,1.428063E-02
03:10:00,3.919315E+02,2.913225E+02,1.574852E-02,2.247837E-02,4.540164E+02,1.067626E+02,1.824008E-02,8.238507E-03,4.322210E+02,2.882890E+02,1.736723E-02,2.224445E-02,5.902393E+02,2.447516E+02,2.371561E-02,1.888561E-02,3.463636E+02,4.894315E+01,1.391374E-02,3.776873E-03,7.798002E+01,1.515197E+02,3.133754E-03,1.169033E-02,3.560898E+02,1.601619E+02,1.430778E-02,1.235836E-02,1.200465E+03,4.562479E+02,4.823227E-02,3.520603E-02,7.899415E+02,1.563480E+02,3.173378E-02,1.206517E-02,2.621884E+02,9.734644E+01,1.053468E-02,7.511457E-03,3.327823E+02,1.858393E+02,1.337188E-02,1.433929E-02
03:20:00,3.958467E+02,2.904864E+02,1.590584E-02,2.241385E-02,4.561785E+02,1.061691E+02,1.832695E-02,8.192708E-03,4.363394E+02,2.874414E+02,1.753274E-02,2.217905E-02,5.944867E+02,2.443986E+02,2.388628E-02,1.885838E-02,3.476239E+02,4.855281E+01,1.396437E-02,3.746746E-03,8.097229E+01,1.522990E+02,3.253996E-03,1.175045E-02,3.590463E+02,1.602658E+02,1.442659E-02,1.236637E-02,1.207281E+03,4.545477E+02,4.850615E-02,3.507484E-02,7.927655E+02,1.551170E+02,3.184723E-02,1.197017E-02,2.642065E+02,9.734682E+01,1.061578E-02,7.511484E-03,3.362250E+02,1.865474E+02,1.351021E-02,1.439393E-02
03:30:00,3.996565E+02,2.896254E+02,1.605893E-02,2.234742E-02,4.582541E+02,1.055570E+02,1.841034E-02,8.145469E-03,4.403468E+02,2.865662E+02,1.769378E-02,2.211152E-02,5.985977E+02,2.440063E+02,2.405147E-02,1.882810E-02,3.488272E+02,4.814817E+01,1.401271E-02,3.715516E-03,8.387622E+01,1.530339E+02,3.370688E-03,1.180715E-02,3.619045E+02,1.603334E+02,1.454145E-02,1.237158E-02,1.213901E+03,4.528099E+02,4.877212E-02,3.494073E-02,7.954894E+02,1.538700E+02,3.195666E-02,1.187393E-02,2.661451E+02,9.731941E+01,1.069368E-02,7.509367E-03,3.395248E+02,1.872059E+02,1.364280E-02,1.444474E-02
03:40:00,4.034153E+02,2.887427E+02,1.620997E-02,2.227931E-02,4.602504E+02,1.049282E+02,1.849055E-02,8.096944E-03,4.442428E+02,2.856668E+02,1.785035E-02,2.204212E-02,6.025816E+02,2.435776E+02,2.421156E-02,1.879502E-02,3.499786E+02,4.773096E+01,1.405897E-02,3.683317E-03,8.670082E+01,1.537278E+02,3.484194E-03,1.186068E-02,3.646713E+02,1.603673E+02,1.465263E-02,1.237420E-02,1.220335E+03,4.510372E+02,4.903063E-02,3.480394E-02,7.981203E+02,1.526084E+02,3.206236E-02,1.177657E-02,2.680111E+02,9.726712E+01,1.076866E-02,7.505331E-03,3.427215E+02,1.878177E+02,1.377125E-02,1.449194E-02
