Time,ROOM_6B25DD81:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_6B25DD81:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_6B25DD81:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_6B25DD81:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_6EBC3C8B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_6EBC3C8B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_6EBC3C8B:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_6EBC3C8B:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_8E9F0581:BOSTON LOGAN INTL ARPT ANN HUM_N 99.6% CONDNS DP=>MCDB:Des Heat Load [W],ROOM_8E9F0581:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_8E9F0581:BOSTON LOGAN INTL ARPT ANN HUM_N 99.6% CONDNS DP=>MCDB:Des Heat Mass Flow [kg/s],ROOM_8E9F0581:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_AFCE1D5C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_AFCE1D5C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_AFCE1D5C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_AFCE1D5C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.898695E+02,3.508779E+02,1.164826E-02,2.707355E-02,2.984379E+02,3.782030E+02,1.199259E-02,2.918196E-02,2.476651E+02,6.447847E+01,9.947789E-03,4.975962E-03,4.752911E+02,2.726108E+02,1.909635E-02,2.103594E-02
00:20:00,3.023447E+02,3.530815E+02,1.214942E-02,2.724362E-02,3.106810E+02,3.802921E+02,1.248441E-02,2.934320E-02,2.559341E+02,6.587205E+01,1.028001E-02,5.083505E-03,4.871163E+02,2.734667E+02,1.957133E-02,2.110202E-02
00:30:00,3.141726E+02,3.545206E+02,1.262459E-02,2.735467E-02,3.220230E+02,3.815818E+02,1.294006E-02,2.944272E-02,2.632835E+02,6.687317E+01,1.057529E-02,5.160753E-03,4.976782E+02,2.737017E+02,1.999560E-02,2.112016E-02
00:40:00,3.252120E+02,3.553382E+02,1.306811E-02,2.741774E-02,3.328454E+02,3.822297E+02,1.337485E-02,2.949269E-02,2.698075E+02,6.753669E+01,1.083741E-02,5.211945E-03,5.071411E+02,2.734404E+02,2.037576E-02,2.109998E-02
00:50:00,3.357379E+02,3.556542E+02,1.349101E-02,2.744210E-02,3.431490E+02,3.823662E+02,1.378881E-02,2.950320E-02,2.756035E+02,6.791423E+01,1.107029E-02,5.241066E-03,5.157523E+02,2.727850E+02,2.072172E-02,2.104939E-02
01:00:00,3.458186E+02,3.555620E+02,1.389604E-02,2.743496E-02,3.530453E+02,3.820924E+02,1.418643E-02,2.948203E-02,2.807569E+02,6.805021E+01,1.127734E-02,5.251547E-03,5.236884E+02,2.718163E+02,2.104060E-02,2.097461E-02
01:10:00,3.552449E+02,3.555193E+02,1.427479E-02,2.743162E-02,3.624015E+02,3.818881E+02,1.456237E-02,2.946623E-02,2.853470E+02,6.804672E+01,1.146178E-02,5.251264E-03,5.310003E+02,2.708929E+02,2.133441E-02,2.090332E-02
01:20:00,3.640306E+02,3.552386E+02,1.462780E-02,2.740993E-02,3.711476E+02,3.814541E+02,1.491379E-02,2.943271E-02,2.894421E+02,6.788823E+01,1.162632E-02,5.239023E-03,5.377673E+02,2.698082E+02,2.160634E-02,2.081959E-02
01:30:00,3.722157E+02,3.547677E+02,1.495667E-02,2.737356E-02,3.793266E+02,3.808403E+02,1.524242E-02,2.938531E-02,2.931047E+02,6.760432E+01,1.177348E-02,5.217104E-03,5.440600E+02,2.686031E+02,2.185920E-02,2.072658E-02
01:40:00,3.798483E+02,3.541473E+02,1.526335E-02,2.732567E-02,3.869820E+02,3.800883E+02,1.555001E-02,2.932726E-02,2.963912E+02,6.722035E+01,1.190553E-02,5.187465E-03,5.499716E+02,2.673115E+02,2.209675E-02,2.062689E-02
01:50:00,3.869719E+02,3.534112E+02,1.554959E-02,2.726885E-02,3.941554E+02,3.792323E+02,1.583825E-02,2.926119E-02,2.993516E+02,6.675798E+01,1.202447E-02,5.151777E-03,5.555267E+02,2.659610E+02,2.231997E-02,2.052267E-02
02:00:00,3.936466E+02,3.525872E+02,1.581778E-02,2.720526E-02,4.009059E+02,3.783000E+02,1.610949E-02,2.918925E-02,3.020448E+02,6.623560E+01,1.213268E-02,5.111459E-03,5.607683E+02,2.645742E+02,2.253060E-02,2.041564E-02
02:10:00,3.998766E+02,3.516782E+02,1.606811E-02,2.713511E-02,4.072386E+02,3.772931E+02,1.636394E-02,2.911154E-02,3.044935E+02,6.565630E+01,1.223106E-02,5.066749E-03,5.657348E+02,2.631441E+02,2.273016E-02,2.030528E-02
02:20:00,4.056556E+02,3.507024E+02,1.630032E-02,2.705982E-02,4.131627E+02,3.762289E+02,1.660198E-02,2.902942E-02,3.067293E+02,6.503265E+01,1.232089E-02,5.018617E-03,5.704585E+02,2.616843E+02,2.291997E-02,2.019263E-02
02:30:00,4.110056E+02,3.496745E+02,1.651528E-02,2.698049E-02,4.186410E+02,3.751215E+02,1.682210E-02,2.894397E-02,3.087804E+02,6.437525E+01,1.240329E-02,4.967881E-03,5.749668E+02,2.602060E+02,2.310113E-02,2.007855E-02
02:40:00,4.160193E+02,3.486066E+02,1.671673E-02,2.689809E-02,4.237864E+02,3.739823E+02,1.702883E-02,2.885607E-02,3.106709E+02,6.369310E+01,1.247925E-02,4.915235E-03,5.792826E+02,2.587181E+02,2.327455E-02,1.996373E-02
02:50:00,4.207473E+02,3.475087E+02,1.690670E-02,2.681338E-02,4.286404E+02,3.728206E+02,1.722387E-02,2.876643E-02,3.124217E+02,6.299408E+01,1.254959E-02,4.861289E-03,5.834255E+02,2.572280E+02,2.344102E-02,1.984875E-02
