Time,ROOM_0BB94468:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_0BB94468:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_0BB94468:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_0BB94468:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_23047892:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_23047892:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_23047892:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_23047892:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2EF2EAA1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2EF2EAA1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2EF2EAA1:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2EF2EAA1:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_493C46C0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_493C46C0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_493C46C0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_493C46C0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_76BDFCB4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_76BDFCB4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_76BDFCB4:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_76BDFCB4:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_AC598DDF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_AC598DDF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_AC598DDF:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_AC598DDF:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_ACD4CC4D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_ACD4CC4D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_ACD4CC4D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_ACD4CC4D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D69CF705:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D69CF705:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D69CF705:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D69CF705:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D7174B0E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D7174B0E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D7174B0E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D7174B0E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_DA745308:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_DA745308:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_DA745308:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_DA745308:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_ECB15B3E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_ECB15B3E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_ECB15B3E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_ECB15B3E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_EDB489C9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_EDB489C9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_EDB489C9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_EDB489C9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F1A4C2D0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F1A4C2D0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F1A4C2D0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F1A4C2D0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_FE68BF79:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_FE68BF79:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_FE68BF79:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_FE68BF79:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.219582E+03,1.260226E+03,4.900745E-02,9.723869E-02,3.794513E+02,1.553722E+02,1.524420E-02,1.198971E-02,3.721896E+02,2.693876E+02,1.495538E-02,2.078611E-02,5.212450E+02,2.882505E+02,2.094345E-02,2.224216E-02,2.322478E+02,9.851527E+01,9.330809E-03,7.601956E-03,1.981304E+02,6.463274E+01,7.959848E-03,4.987446E-03,1.353036E+02,2.623741E+02,5.437478E-03,2.024409E-02,1.616726E+01,2.236581E+02,6.501152E-04,1.725646E-02,2.991560E+02,4.599496E+02,1.202194E-02,3.548889E-02,0.000000E+00,7.396165E+01,0.000000E+00,5.706493E-03,1.768029E+02,1.089478E+02,7.103458E-03,8.406954E-03,0.000000E+00,2.137295E+02,0.000000E+00,1.649012E-02,2.920702E+02,1.100991E+02,1.173417E-02,8.495867E-03,0.000000E+00,6.923766E+01,0.000000E+00,5.342010E-03
00:20:00,1.252741E+03,1.264637E+03,5.033947E-02,9.757931E-02,3.884662E+02,1.558100E+02,1.560636E-02,1.202353E-02,3.847502E+02,2.722191E+02,1.545993E-02,2.100469E-02,5.351064E+02,2.903747E+02,2.150023E-02,2.240617E-02,2.397149E+02,1.002066E+02,9.630761E-03,7.732505E-03,2.055904E+02,6.634496E+01,8.259569E-03,5.119603E-03,1.469827E+02,2.656490E+02,5.906739E-03,2.049683E-02,2.615778E+01,2.288119E+02,1.051634E-03,1.765415E-02,3.145619E+02,4.633790E+02,1.264089E-02,3.575358E-02,0.000000E+00,7.730107E+01,0.000000E+00,5.964169E-03,1.829185E+02,1.100440E+02,7.349125E-03,8.491567E-03,0.000000E+00,2.190003E+02,0.000000E+00,1.689681E-02,3.012561E+02,1.116625E+02,1.210318E-02,8.616548E-03,0.000000E+00,7.241731E+01,0.000000E+00,5.587357E-03
00:30:00,1.283518E+03,1.267355E+03,5.157585E-02,9.778917E-02,3.965027E+02,1.558204E+02,1.592927E-02,1.202434E-02,3.966400E+02,2.744017E+02,1.593757E-02,2.117315E-02,5.476249E+02,2.918203E+02,2.200310E-02,2.251777E-02,2.466211E+02,1.015195E+02,9.908221E-03,7.833841E-03,2.123256E+02,6.771731E+01,8.530191E-03,5.225516E-03,1.568973E+02,2.681999E+02,6.305088E-03,2.069366E-02,3.806368E+01,2.333099E+02,1.530125E-03,1.800123E-02,3.282537E+02,4.659109E+02,1.319096E-02,3.594898E-02,0.000000E+00,8.031910E+01,0.000000E+00,6.197043E-03,1.887293E+02,1.107626E+02,7.582583E-03,8.547018E-03,0.000000E+00,2.235869E+02,0.000000E+00,1.725070E-02,3.094079E+02,1.127879E+02,1.243069E-02,8.703412E-03,1.574585E+00,7.526701E+01,6.338711E-05,5.807242E-03
00:40:00,1.312204E+03,1.268746E+03,5.272830E-02,9.789650E-02,4.036429E+02,1.554833E+02,1.621617E-02,1.199832E-02,4.077074E+02,2.760459E+02,1.638221E-02,2.130004E-02,5.588320E+02,2.927141E+02,2.245332E-02,2.258677E-02,2.531748E+02,1.025072E+02,1.017154E-02,7.910058E-03,2.183381E+02,6.879515E+01,8.771770E-03,5.308693E-03,1.656040E+02,2.701535E+02,6.654899E-03,2.084440E-02,5.169584E+01,2.372484E+02,2.077987E-03,1.830513E-02,3.404976E+02,4.677148E+02,1.368285E-02,3.608817E-02,3.906982E-01,8.303627E+01,1.576503E-05,6.406699E-03,1.941359E+02,1.111678E+02,7.799832E-03,8.578280E-03,0.000000E+00,2.275932E+02,0.000000E+00,1.755980E-02,3.166292E+02,1.135453E+02,1.272083E-02,8.761859E-03,4.107867E+00,7.781158E+01,1.652017E-04,6.003579E-03
00:50:00,1.338788E+03,1.269088E+03,5.379630E-02,9.792289E-02,4.100324E+02,1.548657E+02,1.647292E-02,1.195064E-02,4.179325E+02,2.772419E+02,1.679302E-02,2.139233E-02,5.689369E+02,2.931589E+02,2.285928E-02,2.262108E-02,2.592078E+02,1.032158E+02,1.041396E-02,7.964739E-03,2.237132E+02,6.961941E+01,8.987730E-03,5.372294E-03,1.734346E+02,2.716144E+02,6.969506E-03,2.095711E-02,6.427679E+01,2.407066E+02,2.583249E-03,1.857195E-02,3.515310E+02,4.689256E+02,1.412611E-02,3.618158E-02,2.759412E+00,8.547542E+01,1.109667E-04,6.594899E-03,1.990747E+02,1.113145E+02,7.998285E-03,8.589592E-03,1.078325E+00,2.311049E+02,4.345862E-05,1.783074E-02,3.230340E+02,1.139950E+02,1.297817E-02,8.796549E-03,7.593961E+00,8.007695E+01,3.053079E-04,6.178368E-03
01:00:00,1.363649E+03,1.268601E+03,5.479511E-02,9.788530E-02,4.157790E+02,1.540224E+02,1.670384E-02,1.188555E-02,4.274198E+02,2.780659E+02,1.717419E-02,2.145590E-02,5.781351E+02,2.932389E+02,2.322884E-02,2.262725E-02,2.647348E+02,1.036870E+02,1.063603E-02,8.001089E-03,2.285038E+02,7.022735E+01,9.180212E-03,5.419199E-03,1.806148E+02,2.726707E+02,7.257988E-03,2.103859E-02,7.485304E+01,2.437565E+02,3.008270E-03,1.880725E-02,3.617838E+02,4.696544E+02,1.453801E-02,3.623779E-02,5.621131E+00,8.766412E+01,2.259797E-04,6.763770E-03,2.035621E+02,1.112493E+02,8.178594E-03,8.584547E-03,4.863472E+00,2.341995E+02,1.955885E-04,1.806948E-02,3.287742E+02,1.141889E+02,1.320882E-02,8.811502E-03,1.204274E+01,8.209259E+01,4.841016E-04,6.333885E-03
01:10:00,1.387042E+03,1.268997E+03,5.573494E-02,9.791570E-02,4.209798E+02,1.531606E+02,1.691282E-02,1.181903E-02,4.363235E+02,2.789519E+02,1.753193E-02,2.152425E-02,5.866215E+02,2.934004E+02,2.356981E-02,2.263968E-02,2.698045E+02,1.040847E+02,1.083972E-02,8.031764E-03,2.327960E+02,7.073946E+01,9.352672E-03,5.458708E-03,1.873339E+02,2.736967E+02,7.527948E-03,2.111772E-02,8.536974E+01,2.468213E+02,3.430893E-03,1.904371E-02,3.713689E+02,4.705418E+02,1.492310E-02,3.630622E-02,9.642063E+00,8.977329E+01,3.875804E-04,6.926500E-03,2.076209E+02,1.111182E+02,8.341679E-03,8.574412E-03,9.261734E+00,2.372675E+02,3.723570E-04,1.830616E-02,3.339764E+02,1.143068E+02,1.341787E-02,8.820584E-03,1.726018E+01,8.401394E+01,6.937843E-04,6.482122E-03
01:20:00,1.409044E+03,1.268999E+03,5.661893E-02,9.791582E-02,4.257103E+02,1.521792E+02,1.710290E-02,1.174327E-02,4.446875E+02,2.796164E+02,1.786799E-02,2.157550E-02,5.946040E+02,2.933622E+02,2.389056E-02,2.263672E-02,2.744733E+02,1.043301E+02,1.102731E-02,8.050689E-03,2.366568E+02,7.111016E+01,9.507801E-03,5.487304E-03,1.937645E+02,2.744739E+02,7.786317E-03,2.117766E-02,9.456717E+01,2.496145E+02,3.800489E-03,1.925920E-02,3.804867E+02,4.711531E+02,1.528943E-02,3.635335E-02,1.451379E+01,9.169502E+01,5.833710E-04,7.074767E-03,2.113176E+02,1.108606E+02,8.490203E-03,8.554522E-03,1.532422E+01,2.400587E+02,6.160105E-04,1.852150E-02,3.386854E+02,1.142693E+02,1.360710E-02,8.817675E-03,2.315674E+01,8.574952E+01,9.307564E-04,6.616024E-03
01:30:00,1.429726E+03,1.268700E+03,5.744984E-02,9.789265E-02,4.300384E+02,1.511081E+02,1.727682E-02,1.166060E-02,4.524497E+02,2.801001E+02,1.817988E-02,2.161281E-02,6.020719E+02,2.931678E+02,2.419066E-02,2.262170E-02,2.787868E+02,1.044500E+02,1.120062E-02,8.059930E-03,2.401529E+02,7.136420E+01,9.648280E-03,5.506899E-03,2.000296E+02,2.750489E+02,8.038055E-03,2.122200E-02,1.029688E+02,2.521771E+02,4.138099E-03,1.945690E-02,3.893043E+02,4.715423E+02,1.564371E-02,3.638334E-02,2.011852E+01,9.345059E+01,8.086175E-04,7.210211E-03,2.146921E+02,1.105034E+02,8.625785E-03,8.526947E-03,2.261996E+01,2.426156E+02,9.092261E-04,1.871875E-02,3.429703E+02,1.141075E+02,1.377929E-02,8.805180E-03,2.809713E+01,8.732138E+01,1.129191E-03,6.737294E-03
01:40:00,1.448843E+03,1.268177E+03,5.821788E-02,9.785220E-02,4.340439E+02,1.499725E+02,1.743777E-02,1.157296E-02,4.595816E+02,2.804381E+02,1.846643E-02,2.163887E-02,6.091172E+02,2.928534E+02,2.447378E-02,2.259742E-02,2.827878E+02,1.044675E+02,1.136137E-02,8.061270E-03,2.433619E+02,7.152276E+01,9.777223E-03,5.519127E-03,2.061119E+02,2.754611E+02,8.282455E-03,2.125379E-02,1.106566E+02,2.545444E+02,4.447018E-03,1.963954E-02,3.979305E+02,4.717554E+02,1.599032E-02,3.639976E-02,2.602937E+01,9.506262E+01,1.046100E-03,7.334580E-03,2.177877E+02,1.100690E+02,8.750163E-03,8.493415E-03,3.102358E+01,2.449747E+02,1.246964E-03,1.890073E-02,3.468890E+02,1.138477E+02,1.393676E-02,8.785121E-03,3.261049E+01,8.875224E+01,1.310562E-03,6.847684E-03
