Time,ROOM_093AC67C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_093AC67C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_093AC67C:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_093AC67C:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_1FCE56F7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1FCE56F7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1FCE56F7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1FCE56F7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3885B4DD:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3885B4DD:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3885B4DD:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3885B4DD:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_559049DE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_559049DE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_559049DE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_559049DE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7D709F92:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7D709F92:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7D709F92:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7D709F92:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_AAB59669:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_AAB59669:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_AAB59669:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_AAB59669:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_E1701F16:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_E1701F16:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_E1701F16:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_E1701F16:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.300018E+02,3.949661E+02,1.326157E-02,3.047485E-02,0.000000E+00,1.734750E+02,0.000000E+00,1.338431E-02,2.732048E+02,2.740602E+02,1.097869E-02,2.114635E-02,2.360665E+02,1.990142E+02,9.485610E-03,1.535631E-02,5.147776E+02,3.632408E+02,2.068409E-02,2.802881E-02,0.000000E+00,2.223667E+02,0.000000E+00,1.715654E-02,7.068974E+02,1.964007E+02,2.839585E-02,1.515707E-02
00:20:00,3.462359E+02,3.999175E+02,1.391372E-02,3.085699E-02,0.000000E+00,1.779616E+02,0.000000E+00,1.373049E-02,2.847155E+02,2.773550E+02,1.144101E-02,2.140065E-02,2.445895E+02,2.007116E+02,9.827858E-03,1.548734E-02,5.274537E+02,3.641176E+02,2.119293E-02,2.809656E-02,0.000000E+00,2.274499E+02,0.000000E+00,1.754875E-02,7.179504E+02,1.955833E+02,2.883911E-02,1.509400E-02
00:30:00,3.603522E+02,4.039703E+02,1.448082E-02,3.116977E-02,0.000000E+00,1.818157E+02,0.000000E+00,1.402786E-02,2.949534E+02,2.799582E+02,1.185226E-02,2.160156E-02,2.523927E+02,2.018613E+02,1.014130E-02,1.557607E-02,5.387163E+02,3.642988E+02,2.164529E-02,2.811058E-02,0.000000E+00,2.318437E+02,0.000000E+00,1.788777E-02,7.274376E+02,1.942712E+02,2.922015E-02,1.499273E-02
00:40:00,3.729758E+02,4.072854E+02,1.498796E-02,3.142559E-02,0.000000E+00,1.851303E+02,0.000000E+00,1.428360E-02,3.042272E+02,2.819930E+02,1.222480E-02,2.175859E-02,2.597826E+02,2.025612E+02,1.043817E-02,1.563008E-02,5.490898E+02,3.639267E+02,2.206195E-02,2.808187E-02,0.000000E+00,2.356530E+02,0.000000E+00,1.818168E-02,7.357058E+02,1.925682E+02,2.955233E-02,1.486127E-02
00:50:00,3.846320E+02,4.099928E+02,1.545622E-02,3.163449E-02,2.697957E+00,1.879860E+02,1.085155E-04,1.450392E-02,3.127432E+02,2.835605E+02,1.256690E-02,2.187954E-02,2.668856E+02,2.028926E+02,1.072354E-02,1.565564E-02,5.586772E+02,3.631144E+02,2.244709E-02,2.801917E-02,1.712120E+00,2.389675E+02,6.896814E-05,1.843739E-02,7.429470E+02,1.905585E+02,2.984326E-02,1.470614E-02
01:00:00,3.955402E+02,4.121989E+02,1.589446E-02,3.180470E-02,6.112428E+00,1.904527E+02,2.457457E-04,1.469422E-02,3.207982E+02,2.847439E+02,1.289050E-02,2.197084E-02,2.735102E+02,2.029230E+02,1.098971E-02,1.565797E-02,5.675221E+02,3.619528E+02,2.280243E-02,2.792951E-02,5.726151E+00,2.418634E+02,2.302967E-04,1.866081E-02,7.493428E+02,1.883108E+02,3.010023E-02,1.453263E-02
01:10:00,4.060669E+02,4.145588E+02,1.631739E-02,3.198676E-02,1.088509E+01,1.928371E+02,4.375609E-04,1.487816E-02,3.285979E+02,2.859769E+02,1.320386E-02,2.206595E-02,2.797454E+02,2.029248E+02,1.124023E-02,1.565809E-02,5.757602E+02,3.609083E+02,2.313341E-02,2.784888E-02,1.066778E+01,2.447366E+02,4.289035E-04,1.888247E-02,7.550460E+02,1.860673E+02,3.032937E-02,1.435946E-02
01:20:00,4.162237E+02,4.166240E+02,1.672547E-02,3.214608E-02,1.684155E+01,1.949612E+02,6.769511E-04,1.504203E-02,3.361749E+02,2.869845E+02,1.350830E-02,2.214368E-02,2.856545E+02,2.027518E+02,1.147766E-02,1.564472E-02,5.835034E+02,3.596896E+02,2.344451E-02,2.775481E-02,1.728840E+01,2.473343E+02,6.949879E-04,1.908287E-02,7.602078E+02,1.837217E+02,3.053676E-02,1.417842E-02
01:30:00,4.260673E+02,4.184470E+02,1.712099E-02,3.228671E-02,2.378057E+01,1.968652E+02,9.558274E-04,1.518891E-02,3.434432E+02,2.878095E+02,1.380035E-02,2.220731E-02,2.911840E+02,2.024408E+02,1.169984E-02,1.562070E-02,5.909324E+02,3.583406E+02,2.374302E-02,2.765069E-02,2.519983E+01,2.496988E+02,1.012947E-03,1.926528E-02,7.648892E+02,1.813101E+02,3.072483E-02,1.399228E-02
01:40:00,4.357251E+02,4.200712E+02,1.750904E-02,3.241201E-02,3.155086E+01,1.985824E+02,1.268109E-03,1.532138E-02,3.504579E+02,2.884870E+02,1.408221E-02,2.225957E-02,2.963523E+02,2.020220E+02,1.190751E-02,1.558837E-02,5.980086E+02,3.568982E+02,2.402737E-02,2.753937E-02,3.428002E+01,2.518650E+02,1.377875E-03,1.943239E-02,7.691658E+02,1.788623E+02,3.089665E-02,1.380335E-02
01:50:00,4.449938E+02,4.215339E+02,1.788148E-02,3.252485E-02,3.745317E+01,2.001416E+02,1.505228E-03,1.544166E-02,3.572363E+02,2.890468E+02,1.435458E-02,2.230275E-02,3.011669E+02,2.015211E+02,1.210096E-02,1.554971E-02,6.047894E+02,3.553927E+02,2.429985E-02,2.742318E-02,4.270915E+01,2.538632E+02,1.716476E-03,1.958653E-02,7.731011E+02,1.764027E+02,3.105475E-02,1.361351E-02
02:00:00,4.539659E+02,4.228657E+02,1.824200E-02,3.262760E-02,4.340610E+01,2.015671E+02,1.744461E-03,1.555163E-02,3.637081E+02,2.895134E+02,1.461463E-02,2.233874E-02,3.056126E+02,2.009589E+02,1.227959E-02,1.550632E-02,6.112735E+02,3.538489E+02,2.456041E-02,2.730404E-02,4.981788E+01,2.557186E+02,2.002158E-03,1.972967E-02,7.767479E+02,1.739510E+02,3.120126E-02,1.342429E-02
02:10:00,4.626029E+02,4.240614E+02,1.858905E-02,3.271984E-02,4.875958E+01,2.028719E+02,1.959598E-03,1.565229E-02,3.698976E+02,2.898838E+02,1.486334E-02,2.236731E-02,3.097698E+02,2.003372E+02,1.244661E-02,1.545834E-02,6.174836E+02,3.522567E+02,2.480995E-02,2.718118E-02,5.690127E+01,2.574428E+02,2.286820E-03,1.986269E-02,7.801483E+02,1.714930E+02,3.133787E-02,1.323458E-02
02:20:00,4.708792E+02,4.251414E+02,1.892160E-02,3.280316E-02,5.364967E+01,2.040731E+02,2.156110E-03,1.574495E-02,3.757858E+02,2.901755E+02,1.509993E-02,2.238981E-02,3.136573E+02,1.996695E+02,1.260280E-02,1.540682E-02,6.234414E+02,3.506312E+02,2.504936E-02,2.705574E-02,6.313141E+01,2.590537E+02,2.537186E-03,1.998696E-02,7.833365E+02,1.690400E+02,3.146595E-02,1.304526E-02
02:30:00,4.788023E+02,4.261240E+02,1.923997E-02,3.287897E-02,5.824094E+01,2.051848E+02,2.340612E-03,1.583072E-02,3.813775E+02,2.904037E+02,1.532462E-02,2.240741E-02,3.173141E+02,1.989669E+02,1.274973E-02,1.535260E-02,6.291676E+02,3.489846E+02,2.527945E-02,2.692867E-02,6.880483E+01,2.605660E+02,2.765175E-03,2.010363E-02,7.863404E+02,1.666014E+02,3.158663E-02,1.285705E-02
02:40:00,4.863816E+02,4.270235E+02,1.954452E-02,3.294836E-02,6.264889E+01,2.062187E+02,2.517745E-03,1.591048E-02,3.866759E+02,2.905777E+02,1.553751E-02,2.242084E-02,3.207761E+02,1.982385E+02,1.288883E-02,1.529639E-02,6.346804E+02,3.473268E+02,2.550097E-02,2.680075E-02,7.402196E+01,2.619920E+02,2.974824E-03,2.021364E-02,7.891827E+02,1.641848E+02,3.170081E-02,1.267054E-02
